"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4750","25","105.2","69.8","0.1","82"
"","Haryana","5543","321","112.2","87.6","0.1","206"
"","Rajasthan","7526","0","162.1","43.7","-1.7","242"
"","Delhi","4115","0","86.6","69.0","0.6","243"
"","UP","11677","2775","258.7","117.6","4.1","463"
"","Uttarakhand","1601","70","32.6","19.7","1.0","140"
"","HP","1227","17","25.0","8.0","1.4","156"
"","J&K","1635","100","33.1","18.2","1.3","261"
"","Chandigarh","227","0","4.5","4.5","0.0","17"
"WR","Chhattisgarh","3105","65","72.3","17.3","-0.6","196"
"","Gujarat","12706","57","276.1","39.3","0.7","336"
"","MP","6840","36","146.7","77.9","-1.3","306"
"","Maharashtra","19306","336","416.2","123.5","1.2","349"
"","Goa","401","2","8.7","7.5","0.9","70"
"","DD","251","1","3.4","5.0","-1.6","13"
"","DNH","638","3","14.6","15.2","-0.5","66"
"","Essar steel","448","2","9.5","10.4","-0.8","0"
"SR","Andhra Pradesh","10654","1000","251.3","82.6","3.9","470"
"","Karnataka","8499","550","188.6","29.8","1.1","302"
"","Kerala","3325","150","67.4","36.3","1.4","231"
"","Tamil Nadu","12991","782","290.1","78.8","-1.0","219"
"","Pondy","333","0","6.1","7.1","-1.0","25"
"ER","Bihar","2387","300","47.2","43.5","1.0","345"
"","DVC","2447","0","57.7","-12.0","0.8","415"
"","Jharkhand","948","0","20.8","12.3","-0.1","135"
"","Odisha","3418","0","68.2","20.8","-3.4","389"
"","West Bengal","7285","8","145.5","43.6","1.1","378"
"","Sikkim","64","0","1.0","0.8","0.2","20"
"NER","Arunachal Pradesh","100","5","1.5","1.7","-0.2","43"
"","Assam","1070","291","21.2","12.8","3.6","195"
"","Manipur","102","9","1.5","1.7","-0.2","10"
"","Meghalaya","260","8","4.3","1.7","0.2","84"
"","Mizoram","70","6","1.1","1.1","-0.2","18"
"","Nagaland","100","3","1.7","1.6","-0.2","36"
"","Tripura","200","25","3.0","1.3","-0.5","60"
