"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6025","0","124.2","84.4","-2.8","190"
"","Haryana","6799","0","119.6","91.5","-1.3","332"
"","Rajasthan","8526","186","186.1","73.5","4.0","433"
"","Delhi","4431","0","89.5","72.9","-1.5","210"
"","UP","16637","0","330.2","141.7","3.5","1081"
"","Uttarakhand","1665","0","33.0","14.0","-1.7","168"
"","HP","1084","0","21.4","9.2","-1.5","250"
"","J&K","1959","490","38.5","19.5","0.4","202"
"","Chandigarh","211","0","4.3","4.8","-0.5","17"
"WR","Chhattisgarh","3788","0","90.2","27.5","-1.5","149"
"","Gujarat","14141","0","323.5","73.7","1.9","450"
"","MP","7471","0","166.6","101.7","-1.1","378"
"","Maharashtra","20013","105","440.5","151.6","0.3","802"
"","Goa","430","0","8.8","8.5","-0.3","90"
"","DD","295","0","5.1","5.4","-0.3","178"
"","DNH","744","0","16.5","16.0","0.5","90"
"","Essar steel","422","0","7.8","6.1","1.7","213"
"SR","Andhra Pradesh","7318","0","155.4","30.5","1.2","631"
"","Telangana","6396","0","134.7","49.5","-3.1","441"
"","Karnataka","8240","0","183.6","76.3","4.6","410"
"","Kerala","3359","0","68.9","53.2","1.7","338"
"","Tamil Nadu","13418","0","310.2","171.2","1.8","673"
"","Pondy","339","0","7.4","7.8","-0.4","36"
"ER","Bihar","3541","0","71.8","65.8","0.4","325"
"","DVC","2973","0","66.3","-41.6","-0.7","345"
"","Jharkhand","1211","0","24.1","17.4","0.4","225"
"","Odisha","4124","0","83.7","27.6","1.6","365"
"","West Bengal","7943","0","135.8","34.3","-0.6","378"
"","Sikkim","57","0","0.9","1.0","-0.1","20"
"NER","Arunachal Pradesh","129","4","2.0","1.8","0.2","30"
"","Assam","1351","3","20.6","14.8","1.7","181"
"","Manipur","132","2","2.3","2.1","0.2","16"
"","Meghalaya","267","0","4.3","2.4","-0.7","66"
"","Mizoram","68","5","1.5","1.2","0.2","20"
"","Nagaland","121","2","1.9","2.0","-0.3","35"
"","Tripura","229","1","2.8","2.8","-1.0","63"
