"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","11550","0","240.2","129.6","-7.2","188","0.0"
"","Haryana","9293","0","201.3","130.5","0.4","214","0.0"
"","Rajasthan","11605","0","257.9","64.5","-1.2","345","0.0"
"","Delhi","6515","0","130.7","109.6","-0.8","194","0.0"
"","UP","21103","340","450.6","220.7","1.6","817","0.0"
"","Uttarakhand","2107","0","46.9","16.4","0.9","138","0.0"
"","HP","1477","0","31.1","3.7","1.5","155","0.0"
"","J&K","2300","575","46.9","23.1","-0.7","251","11.1"
"","Chandigarh","315","0","6.1","7.1","-1.0","0","0.0"
"WR","Chhattisgarh","3720","0","89.6","32.8","0.0","779","0.0"
"","Gujarat","15350","0","342.9","78.1","8.0","688","0.0"
"","MP","9054","0","203.4","118.7","-0.1","386","0.0"
"","Maharashtra","20631","0","464.0","111.0","-0.3","473","0.0"
"","Goa","541","0","11.5","10.6","0.3","177","0.0"
"","DD","342","0","7.6","7.2","0.5","43","0.0"
"","DNH","744","0","17.4","17.5","-0.2","57","0.0"
"","Essar steel","346","0","6.6","6.5","0.2","276","0.0"
"SR","Andhra Pradesh","9575","0","201.8","38.5","0.6","834","0.0"
"","Telangana","7763","0","168.4","48.5","0.3","834","0.0"
"","Karnataka","9869","0","198.1","61.5","1.3","845","0.0"
"","Kerala","3584","0","71.9","56.2","1.8","325","0.0"
"","Tamil Nadu","15609","0","332.9","141.0","-0.1","699","0.0"
"","Pondy","435","0","9.1","9.2","-0.2","33","0.0"
"ER","Bihar","5209","0","106.1","103.3","0.4","350","0.0"
"","DVC","3018","0","66.5","-41.9","0.4","300","0.0"
"","Jharkhand","1001","0","27.3","21.5","0.2","150","0.0"
"","Odisha","4234","0","87.1","36.1","2.4","400","0.0"
"","West Bengal","9068","0","180.4","66.3","2.2","425","0.0"
"","Sikkim","90","0","1.1","1.3","-0.2","30","0.0"
"NER","Arunachal Pradesh","122","1","2.1","2.7","-0.6","43","0.0"
"","Assam","1700","93","31.8","26.6","0.5","134","4.0"
"","Manipur","162","4","2.2","2.3","-0.1","16","0.0"
"","Meghalaya","337","0","6.1","1.9","0.2","107","0.0"
"","Mizoram","94","2","1.8","1.6","0.1","5","0.0"
"","Nagaland","124","3","2.1","2.2","-0.1","55","0.0"
"","Tripura","239","2","5.0","3.7","0.1","56","0.0"
