"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7801","0","175.9","100.6","-0.2","186","0.0"
"","Haryana","7523","0","162.6","116.1","0.4","201","0.0"
"","Rajasthan","10260","0","217.5","65.6","0.6","232","0.1"
"","Delhi","5607","0","113.8","95.1","0.7","278","0.1"
"","UP","17311","1335","377.9","150.1","1.1","397","0.0"
"","Uttarakhand","1889","0","40.8","17.6","0.6","138","0.0"
"","HP","1349","0","27.1","1.8","2.9","325","0.0"
"","J&K","1952","488","39.3","16.3","-0.1","173","0.0"
"","Chandigarh","287","0","5.8","6.1","-0.3","12","0.0"
"WR","Chhattisgarh","3734","0","82.4","12.7","-0.5","322","0.0"
"","Gujarat","15368","0","339.7","106.5","-1.7","506","0.0"
"","MP","8356","0","183.6","95.1","0.8","265","0.0"
"","Maharashtra","20620","0","455.1","147.2","-1.6","819","0.0"
"","Goa","465","0","10.0","8.9","0.8","50","0.0"
"","DD","315","0","7.2","6.8","0.4","37","0.0"
"","DNH","731","0","16.7","17.2","-0.5","-6","0.0"
"","Essar steel","570","0","10.2","10.4","-0.2","178","0.0"
"SR","Andhra Pradesh","7444","0","165.2","55.1","5.9","639","0.0"
"","Telangana","6645","0","142.4","56.0","-2.6","454","0.0"
"","Karnataka","8691","0","190.7","71.2","6.0","662","0.0"
"","Kerala","3618","0","67.8","51.8","0.9","282","0.0"
"","Tamil Nadu","14169","0","315.3","161.9","-2.2","561","0.0"
"","Pondy","332","0","7.3","7.1","0.2","98","0.0"
"ER","Bihar","3994","0","73.3","70.6","0.9","200","0.0"
"","DVC","2708","0","59.6","-36.8","0.4","150","0.0"
"","Jharkhand","1063","0","23.5","17.3","0.1","85","0.0"
"","Odisha","3949","0","83.8","22.8","0.8","250","0.0"
"","West Bengal","7827","0","138.9","37.7","0.4","200","0.0"
"","Sikkim","72","0","1.0","1.1","-0.1","15","0.0"
"NER","Arunachal Pradesh","109","1","2.0","1.6","0.4","8","0.0"
"","Assam","1488","81","25.7","18.9","3.4","168","0.5"
"","Manipur","136","1","2.8","1.9","0.8","5","0.0"
"","Meghalaya","250","0","4.3","3.0","0.0","31","0.0"
"","Mizoram","77","1","1.4","1.2","0.2","9","0.0"
"","Nagaland","104","1","2.2","1.9","0.2","5","0.0"
"","Tripura","251","1","3.8","3.0","0.1","7","0.1"
