"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9820","0","215.0","132.9","-2.5","204","0.0"
"","Haryana","9616","0","207.1","157.3","0.9","365","3.7"
"","Rajasthan","11695","0","252.4","62.7","0.0","444","0.0"
"","Delhi","6643","0","132.5","111.5","0.1","222","0.0"
"","UP","17631","160","363.5","164.8","0.6","501","0.0"
"","Uttarakhand","1831","0","38.0","13.3","-0.6","133","0.0"
"","HP","1255","0","27.0","-2.4","-0.5","93","0.0"
"","J&K","1891","473","40.1","17.8","0.4","236","9.5"
"","Chandigarh","222","0","4.7","5.3","-0.6","29","0.0"
"WR","Chhattisgarh","4319","0","99.2","31.6","-0.2","350","0.0"
"","Gujarat","16282","0","364.6","68.2","2.9","514","0.0"
"","MP","8772","0","194.2","86.2","0.0","658","0.0"
"","Maharashtra","18383","0","415.0","111.0","0.7","439","0.0"
"","Goa","541","0","11.6","10.8","0.2","89","0.0"
"","DD","336","0","7.7","7.0","0.7","45","0.0"
"","DNH","792","0","18.6","18.9","-0.3","36","0.0"
"","Essar steel","254","0","5.2","5.5","-0.3","304","0.0"
"SR","Andhra Pradesh","8831","0","184.1","34.8","-0.6","498","0.0"
"","Telangana","7733","0","166.9","77.8","1.2","496","0.0"
"","Karnataka","9984","0","196.1","51.1","2.2","490","0.0"
"","Kerala","3487","0","72.2","58.6","3.0","363","0.0"
"","Tamil Nadu","14358","0","322.9","164.3","0.2","498","0.0"
"","Pondy","361","0","7.6","7.8","-0.3","35","0.0"
"ER","Bihar","4315","0","70.2","71.8","-2.0","300","0.0"
"","DVC","3037","0","66.8","-42.1","-0.2","150","0.0"
"","Jharkhand","1164","0","25.2","15.7","-0.2","130","0.0"
"","Odisha","4131","0","90.6","38.6","1.3","450","0.0"
"","West Bengal","8311","0","169.5","69.7","2.4","180","0.0"
"","Sikkim","85","0","1.0","1.2","-0.2","15","0.0"
"NER","Arunachal Pradesh","113","4","2.1","2.6","-0.5","11","0.0"
"","Assam","1674","54","28.1","21.1","1.3","89","1.7"
"","Manipur","154","7","2.4","2.3","0.1","19","0.0"
"","Meghalaya","325","6","5.7","-1.4","-0.1","60","0.0"
"","Mizoram","95","4","1.8","1.1","0.4","14","0.0"
"","Nagaland","118","7","2.2","2.1","-0.4","33","0.0"
"","Tripura","221","14","4.1","2.9","0.4","28","0.6"
