"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9214","0","201.4","94.6","0.3","168","0.0"
"","Haryana","7832","0","162.1","108.1","0.9","157","0.0"
"","Rajasthan","9052","0","199.8","73.7","1.3","376","0.0"
"","Delhi","4897","0","98.1","73.4","-3.1","37","0.1"
"","UP","17417","2590","397.5","194.1","0.9","377","4.3"
"","Uttarakhand","1748","0","36.8","9.8","-0.7","75","0.0"
"","HP","1187","0","26.0","7.2","0.5","99","0.0"
"","J&K","2030","507","40.2","21.7","4.8","426","9.5"
"","Chandigarh","222","0","4.5","5.2","-0.6","10","0.0"
"WR","Chhattisgarh","3869","0","84.4","25.0","-1.0","241","0.0"
"","Gujarat","12839","0","286.9","44.1","1.5","402","0.0"
"","MP","7366","0","166.7","107.4","-0.4","470","0.0"
"","Maharashtra","16420","0","364.7","110.4","-2.9","514","0.6"
"","Goa","385","0","8.0","8.1","-0.3","25","0.0"
"","DD","298","0","6.7","6.2","0.5","37","0.0"
"","DNH","714","0","16.3","15.9","0.4","55","0.0"
"","Essar steel","411","0","8.1","7.7","0.4","145","0.0"
"SR","Andhra Pradesh","6511","0","138.6","29.6","-0.5","416","0.0"
"","Telangana","7491","0","163.5","70.5","0.3","403","0.0"
"","Karnataka","5925","0","126.6","26.8","-9.0","309","0.0"
"","Kerala","2580","0","53.3","37.4","0.1","172","0.0"
"","Tamil Nadu","10910","0","239.2","114.2","-2.4","498","0.0"
"","Pondy","278","0","6.1","6.8","-0.6","34","0.0"
"ER","Bihar","4268","0","88.0","81.9","0.8","350","0.0"
"","DVC","2770","0","62.2","-29.9","0.1","370","0.0"
"","Jharkhand","1086","0","23.4","17.0","0.1","100","0.0"
"","Odisha","4276","0","89.5","40.4","4.1","460","0.0"
"","West Bengal","8101","0","145.6","51.4","2.0","320","0.0"
"","Sikkim","65","0","0.8","0.9","-0.1","8","0.0"
"NER","Arunachal Pradesh","108","2","2.2","2.5","-0.2","3","0.1"
"","Assam","1467","160","26.7","22.3","-0.1","244","2.2"
"","Manipur","139","3","2.1","2.2","-0.1","31","0.1"
"","Meghalaya","195","0","3.8","0.5","0.0","66","0.0"
"","Mizoram","78","4","1.3","1.3","-0.1","10","0.1"
"","Nagaland","117","1","2.1","1.9","0.0","21","0.0"
"","Tripura","235","0","5.2","4.2","0.2","85","0.1"
