"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10062","0","227.7","127.1","0.1","134","0.0"
"","Haryana","7889","0","158.6","107.6","-0.7","167","0.5"
"","Rajasthan","8701","0","186.4","79.6","1.7","470","0.7"
"","Delhi","5289","0","103.5","83.9","-0.2","363","0.1"
"","UP","16647","0","352.6","158.3","-0.9","266","0.0"
"","Uttarakhand","1530","150","32.2","13.1","-0.7","158","0.1"
"","HP","1120","0","23.2","-4.1","3.3","601","0.3"
"","J&K","1926","482","37.9","13.0","-1.0","294","9.0"
"","Chandigarh","258","0","5.3","5.8","-0.5","20","0.0"
"WR","Chhattisgarh","3468","0","83.7","20.3","1.8","153","0.0"
"","Gujarat","10705","0","230.0","56.9","-4.4","262","0.0"
"","MP","6749","0","148.0","81.8","-3.1","175","0.0"
"","Maharashtra","19324","0","424.7","131.3","3.3","451","0.0"
"","Goa","455","0","8.9","8.3","0.6","83","0.0"
"","DD","278","0","5.4","5.0","0.4","31","0.0"
"","DNH","706","0","15.7","15.8","-0.1","11","0.0"
"","Essar steel","345","0","7.1","7.1","0.0","165","0.0"
"SR","Andhra Pradesh","7272","0","163","49","1.5","404","0.0"
"","Telangana","9397","0","192","106","-3.4","363","0.0"
"","Karnataka","8805","0","192","65","3.5","495","0.0"
"","Kerala","3328","0","64","45","1.2","222","0.0"
"","Tamil Nadu","13956","0","294","104","6.2","472","0.0"
"","Pondy","338","0","7","7","-0.1","37","0.0"
"ER","Bihar","4220","50","82.2","74.4","3.8","490","0.3"
"","DVC","2780","200","60.5","-20.1","4.2","450","0.9"
"","Jharkhand","1219","0","24.1","16.5","0.4","90","0.0"
"","Odisha","3942","0","77.7","22.1","-3.3","60","0.0"
"","West Bengal","7933","0","153.3","54.7","2.9","260","0.0"
"","Sikkim","85","0","1.0","1.0","0.0","20","0.0"
"NER","Arunachal Pradesh","107","4","2.1","2.2","-0.1","14","0.0"
"","Assam","1580","134","29.7","22.4","2.0","207","1.4"
"","Manipur","141","5","2.2","2.0","0.2","34","0.0"
"","Meghalaya","273","0","5.0","-0.6","-0.4","38","0.0"
"","Mizoram","69","6","1.1","1.1","0.0","12","0.0"
"","Nagaland","109","4","2.0","1.8","0.0","19","0.0"
"","Tripura","249","3","3.8","3.4","-0.5","63","0.1"
