"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9705","0","217.5","131.6","-1.5","132"
"","Haryana","8170","0","170.1","121.3","-0.3","373"
"","Rajasthan","6000","0","122.4","49.5","0.2","266"
"","Delhi","4799","0","100.5","88.3","-1.5","234"
"","UP","12434","3910","283.5","144.4","0.2","575"
"","Uttarakhand","2634","0","39.8","15.3","0.3","205"
"","HP","1195","15","24.8","0.7","0.2","73"
"","J&K","1759","440","34.4","21.8","-0.8","165"
"","Chandigarh","324","0","6.3","6.5","0.3","19"
"WR","Chhattisgarh","3279","96","77.6","28.4","3.4","313"
"","Gujarat","8925","9","191.8","12.1","-13.9","867"
"","MP","5955","0","123.4","64.0","-2.1","199"
"","Maharashtra","16642","54","364.3","87.4","-2.7","610"
"","Goa","372","0","7.9","7.2","0.1","-31"
"","DD","275","0","6.0","6.1","-0.1","45"
"","DNH","672","0","14.7","14.9","-0.3","68"
"","Essar steel","441","0","7.3","7.3","-0.1","228"
"SR","Andhra Pradesh","6333","0","145.6","27.6","4.6","492"
"","Telangana","6259","0","143.2","89.7","3.7","345"
"","Karnataka","8859","600","173.3","28.4","2.4","454"
"","Kerala","3231","0","58.4","32.6","1.4","218"
"","Tamil Nadu","12981","622","265.5","84.7","1.6","519"
"","Pondy","309","0","6.2","6.3","-0.1","49"
"ER","Bihar","2792","0","61.8","61.1","-1.5","30"
"","DVC","2368","0","56.0","-16.8","-3.3","150"
"","Jharkhand","919","0","18.0","12.8","-2.4","80"
"","Odisha","3626","0","65.6","17.1","0.3","250"
"","West Bengal","6351","0","116.8","39.2","1.4","150"
"","Sikkim","69","0","1.5","1.0","0.5","25"
"NER","Arunachal Pradesh","102","1","1.2","1.5","-0.4","52"
"","Assam","1282","165","27.0","19.7","2.4","195"
"","Manipur","126","3","1.8","2.8","-1.0","23"
"","Meghalaya","282","3","4.3","1.5","-0.6","65"
"","Mizoram","73","2","1.2","1.0","0.1","23"
"","Nagaland","117","1","1.8","1.9","-0.1","27"
"","Tripura","222","2","3.1","0.9","0.2","47"
