"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7538","0","165.4","94.4","0.0","242","0.0"
"","Haryana","7412","0","150.1","102.0","-2.7","212","0.0"
"","Rajasthan","9081","0","200.9","68.6","2.1","380","0.0"
"","Delhi","5620","7","112.7","92.5","0.6","291","0.1"
"","UP","16889","760","346.2","136.5","1.9","357","3.8"
"","Uttarakhand","1906","0","41.1","19.5","-1.1","149","0.0"
"","HP","1272","0","26.0","4.6","2.6","217","0.0"
"","J&K","2035","509","32.9","16.8","1.5","95","9.7"
"","Chandigarh","293","0","5.8","6.2","-0.4","63","0.0"
"WR","Chhattisgarh","3629","0","77.9","17.6","-1.5","161","0.0"
"","Gujarat","14930","0","334.7","108.7","0.2","477","0.0"
"","MP","8171","0","176.7","88.5","-1.6","797","0.0"
"","Maharashtra","21792","0","477.9","141.7","-3.4","895","0.0"
"","Goa","481","0","10.4","8.8","1.2","113","0.0"
"","DD","327","0","7.3","6.7","0.6","74","0.0"
"","DNH","750","0","17.2","17.7","-0.5","-1","0.0"
"","Essar steel","441","0","8.8","9.1","-0.4","202","0.0"
"SR","Andhra Pradesh","6812","0","153.4","45.6","5.9","538","0.0"
"","Telangana","6378","0","122.5","48.9","-5.3","276","0.0"
"","Karnataka","8695","0","182.9","69.8","2.3","771","0.0"
"","Kerala","3278","0","70.5","54.8","1.7","538","0.0"
"","Tamil Nadu","13793","0","303.2","151.3","2.1","276","0.0"
"","Pondy","326","0","6.1","6.5","-0.4","771","0.0"
"ER","Bihar","3966","0","65.8","64.5","-0.5","233","0.0"
"","DVC","2856","0","65.5","-34.2","-1.1","120","0.0"
"","Jharkhand","981","0","23.2","17.0","0.1","360","0.0"
"","Odisha","4296","0","76.4","21.3","1.2","380","0.0"
"","West Bengal","8234","0","143.3","30.8","2.1","260","0.0"
"","Sikkim","74","0","1.1","0.8","0.3","30","0.0"
"NER","Arunachal Pradesh","88","7","1.9","1.6","0.2","0","0.1"
"","Assam","1460","73","22.1","16.6","2.2","151","1.4"
"","Manipur","151","1","2.4","2.2","0.2","4","0.1"
"","Meghalaya","263","0","4.0","3.0","-0.3","23","0.0"
"","Mizoram","77","1","1.3","1.2","0.1","11","0.0"
"","Nagaland","107","4","1.8","1.9","-0.3","3","0.0"
"","Tripura","232","4","4.1","2.9","-0.4","3","0.1"
