"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5398","0","115.4","70.5","-0.6","133"
"","Haryana","5530","0","116.3","83.3","-0.6","383"
"","Rajasthan","8233","0","171.3","41.8","-0.7","228"
"","Delhi","4274","0","91.9","72.1","-2.1","132"
"","UP","11907","1400","259.2","127.4","-0.3","391"
"","Uttarakhand","1692","0","30.8","19.4","-0.7","179"
"","HP","1189","0","25.3","8.6","0.4","115"
"","J&K","1524","100","30.4","19.8","-2.2","13"
"","Chandigarh","238","0","5.0","4.5","0.5","32"
"WR","Chhattisgarh","3238","49","73.4","18.7","-1.6","295"
"","Gujarat","13026","0","289.9","42.5","-0.5","396"
"","MP","6932","0","149.1","72.6","-1.1","533"
"","Maharashtra","18761","39","405.1","120.3","3.0","801"
"","Goa","428","0","9.6","8.2","1.1","143"
"","DD","281","0","6.3","6.1","0.2","41"
"","DNH","672","0","15.6","15.2","0.4","43"
"","Essar steel","598","0","12.6","13.3","-0.8","0"
"SR","Andhra Pradesh","11329","1200","254.4","90.3","2.9","355"
"","Karnataka","7576","600","162.7","21.9","2.5","281"
"","Kerala","3255","75","61.4","28.2","1.2","476"
"","Tamil Nadu","12010","777","274.5","91.7","1.1","401"
"","Pondy","332","0","7.2","7.0","0.2","41"
"ER","Bihar","2375","200","42.8","40.1","0.2","240"
"","DVC","2478","0","52.7","-12.0","-2.1","190"
"","Jharkhand","1068","0","16.3","10.5","-1.1","180"
"","Odisha","3399","0","71.2","23.4","-0.9","150"
"","West Bengal","5827","0","105.1","20.2","0.2","160"
"","Sikkim","54","0","0.6","1.1","-0.5","15"
"NER","Arunachal Pradesh","99","6","1.4","1.1","0.4","43"
"","Assam","1127","173","20.0","13.6","1.7","85"
"","Manipur","79","21","1.4","1.2","0.2","27"
"","Meghalaya","209","6","3.0","2.1","0.4","77"
"","Mizoram","67","8","0.9","0.8","-0.1","18"
"","Nagaland","85","0","1.3","1.4","-0.2","30"
"","Tripura","184","4","2.2","1.2","-0.7","40"
