"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4884","0","93.1","22.2","-0.2","214","0.0"
"","Haryana","5802","300","112.2","68.8","10.9","392","0.1"
"","Rajasthan","10351","0","200.0","52.8","-0.6","354","0.0"
"","Delhi","3439","0","64.7","49.6","1.2","129","0.0"
"","UP","12172","600","276.8","106.2","-1.6","181","0.0"
"","Uttarakhand","1789","0","33.6","16.9","0.3","106","0.0"
"","HP","1451","8","26.5","18.6","1.1","136","0.1"
"","J&K","2007","502","42.2","35.1","0.1","170","9.8"
"","Chandigarh","171","0","3.1","3.5","-0.3","26","0.0"
"WR","Chhattisgarh","3070","0","68.2","13.4","-0.3","179","0.4"
"","Gujarat","14513","0","316.2","76.1","0.2","478","0.0"
"","MP","11878","0","240.2","168.3","-1.4","435","0.0"
"","Maharashtra","20455","26","425.2","143.7","1.7","399","0.0"
"","Goa","440","0","8.9","9.0","0.0","43","0.0"
"","DD","315","0","7.1","6.3","0.7","80","0.0"
"","DNH","739","0","17.0","16.9","0.1","45","0.0"
"","Essar steel","523","0","11.3","11.4","-0.2","105","0.0"
"SR","Andhra Pradesh","7855","0","167.8","66.8","5.7","419","0.0"
"","Telangana","7455","0","157.6","72.0","-1.3","416","0.0"
"","Karnataka","9565","0","205.2","91.0","0.9","485","0.0"
"","Kerala","3498","0","67.7","47.6","0.8","243","0.0"
"","Tamil Nadu","13756","0","292.9","152.7","4.7","464","0.0"
"","Pondy","321","0","6.2","7.2","-1.0","21","0.0"
"ER","Bihar","4024","0","61.4","57.7","1.9","330","0.0"
"","DVC","2773","0","60.4","-23.7","2.9","350","0.0"
"","Jharkhand","1204","0","23.3","13.3","-0.3","135","0.0"
"","Odisha","3551","0","67.0","29.6","3.2","300","0.8"
"","West Bengal","7254","0","113.8","26.7","4.0","380","0.0"
"","Sikkim","119","0","1.6","1.3","0.2","20","0.0"
"NER","Arunachal Pradesh","136","8","2.2","2.0","0.2","43","0.0"
"","Assam","1495","37","23.8","19.2","1.2","268","0.4"
"","Manipur","161","7","2.3","2.4","-0.1","35","0.0"
"","Meghalaya","287","1","5.0","2.6","-0.2","40","0.0"
"","Mizoram","87","3","1.5","1.0","0.4","45","0.0"
"","Nagaland","124","4","2.0","1.5","0.0","28","0.1"
"","Tripura","211","3","3.3","2.1","-0.4","57","0.0"
