"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6173","0","129.6","75.1","-0.2","106"
"","Haryana","6160","0","119.9","76.5","-1.6","97"
"","Rajasthan","7995","0","173.8","52.0","1.3","297"
"","Delhi","4389","4","90.1","74.6","-1.1","310"
"","UP","11542","1685","245.3","110.4","-0.6","251"
"","Uttarakhand","1673","75","33.5","19.2","0.6","99"
"","HP","1205","0","25.1","6.2","0.7","125"
"","J&K","1597","100","32.9","17.4","1.3","235"
"","Chandigarh","271","0","5.3","4.5","0.8","56"
"WR","Chhattisgarh","2548","53","59.4","16.2","-1.7","269"
"","Gujarat","13213","12","283.1","53.9","-0.4","483"
"","MP","7139","10","150.6","79.7","1.5","334"
"","Maharashtra","19489","558","406.4","121.7","2.9","661"
"","Goa","419","1","8.2","7.9","-0.5","94"
"","DD","275","0","5.8","5.7","0.1","50"
"","DNH","663","1","15.3","15.1","0.2","25"
"","Essar steel","432","1","9.5","10.0","-0.5","85"
"SR","Andhra Pradesh","8836","3800","182.5","91.0","4.0","447"
"","Karnataka","8196","400","173.0","22.0","1.1","279"
"","Kerala","3399","150","65.0","36.2","2.6","247"
"","Tamil Nadu","12073","778","268.3","79.7","1.6","342"
"","Pondy","344","30","6.4","6.7","-0.2","42"
"ER","Bihar","1912","540","36.7","40.0","-5.9","0"
"","DVC","2508","0","55.1","-12.8","-0.5","150"
"","Jharkhand","1042","0","19.6","10.2","-1.1","200"
"","Odisha","3076","0","64.0","20.8","-2.0","90"
"","West Bengal","6204","26","128.4","29.5","5.1","480"
"","Sikkim","95","0","1.8","1.3","0.5","28"
"NER","Arunachal Pradesh","89","16","1.1","1.0","0.1","32"
"","Assam","1107","314","19.5","11.9","2.4","203"
"","Manipur","96","15","1.5","1.1","0.4","34"
"","Meghalaya","270","19","3.3","1.8","-0.1","66"
"","Mizoram","68","5","0.9","0.8","-0.1","19"
"","Nagaland","94","10","1.5","1.2","0.0","46"
"","Tripura","202","45","3.0","0.8","0.1","54"
