"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7085","0","161.8","98.6","1.0","231","0.0"
"","Haryana","7481","0","157.9","115.7","-0.3","202","0.0"
"","Rajasthan","9305","0","193.2","65.4","4.5","354","0.5"
"","Delhi","5756","0","115.1","96.5","-1.4","280","0.0"
"","UP","16305","0","347.2","165.9","0.1","900","1.5"
"","Uttarakhand","1774","0","36.2","18.2","-0.8","202","0.0"
"","HP","1204","0","25.3","3.1","3.7","119","1.0"
"","J&K","1939","485","38.4","14.0","-0.6","125","8.7"
"","Chandigarh","302","0","5.8","6.3","-0.5","12","0.0"
"WR","Chhattisgarh","3512","0","84.2","22.2","-1.7","277","0.0"
"","Gujarat","14969","0","334.6","86.2","2.1","603","0.0"
"","MP","8174","0","181.9","87.0","-1.2","454","0.0"
"","Maharashtra","22151","0","481.1","149.9","2.4","785","0.0"
"","Goa","457","0","9.8","9.2","0.3","69","0.0"
"","DD","321","0","7.2","6.7","0.5","80","0.0"
"","DNH","747","0","16.7","17.2","-0.5","3","0.0"
"","Essar steel","495","0","10.3","9.6","0.7","201","0.0"
"SR","Andhra Pradesh","7844","0","166.9","49.4","5.7","575","0.0"
"","Telangana","6731","0","145.7","58.6","-4.3","313","0.0"
"","Karnataka","8224","0","177.1","68.0","3.7","526","0.0"
"","Kerala","3795","0","76.4","56.3","1.6","225","0.0"
"","Tamil Nadu","14531","0","325.4","116.1","-0.2","665","0.0"
"","Pondy","369","0","7.7","7.9","-0.2","31","0.0"
"ER","Bihar","3843","0","61.0","61.9","-2.8","330","0.0"
"","DVC","2801","0","63.4","-41.2","-0.5","250","0.0"
"","Jharkhand","1165","0","23.5","18.9","-0.6","140","0.0"
"","Odisha","4311","0","87.2","28.6","0.9","380","0.0"
"","West Bengal","7016","0","140.5","41.2","3.0","290","0.0"
"","Sikkim","73","0","1.2","1.2","0.0","24","0.0"
"NER","Arunachal Pradesh","98","5","2.1","1.6","0.5","24","0.0"
"","Assam","1527","32","26.5","20.2","3.1","156","0.5"
"","Manipur","132","2","2.3","2.0","0.3","16","0.1"
"","Meghalaya","268","0","4.1","2.5","-0.3","54","0.0"
"","Mizoram","78","1","1.5","1.2","0.2","11","0.0"
"","Nagaland","100","6","2.1","1.7","0.3","13","0.0"
"","Tripura","231","7","3.7","2.6","-0.6","52","0.1"
