"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3719","0","78.2","59.9","-0.6","186","0.0"
"","Haryana","4642","0","79.7","76.6","0.7","170","0.0"
"","Rajasthan","8286","0","159.5","63.4","-1.5","300","0.0"
"","Delhi","2495","0","52.4","42.1","-1.9","40","0.0"
"","UP","15689","0","271.0","121.5","0.6","832","0.0"
"","Uttarakhand","1075","0","20.1","6.4","-0.5","26","0.0"
"","HP","742","0","12.1","0.5","-1.9","49","0.0"
"","J&K(UT) & Ladakh(UT)","2123","531","40.7","32.3","-2.9","171","9.6"
"","Chandigarh","133","0","2.4","2.4","0.0","19","0.0"
"WR","Chhattisgarh","3277","0","78.2","23.8","-1.4","185","0.0"
"","Gujarat","11154","0","249.5","63.7","2.5","403","0.0"
"","MP","8904","0","177.2","110.9","-1.8","268","0.0"
"","Maharashtra","17719","0","392.2","171.5","0.0","594","0.0"
"","Goa","364","0","7.1","7.2","-0.1","43","0.0"
"","DD","83","0","1.9","1.9","0.0","23","0.0"
"","DNH","103","0","2.2","2.2","0.0","119","0.0"
"","Essar steel","199","0","0.7","0.9","-0.2","125","0.0"
"SR","Andhra Pradesh","7540","0","154.9","78.9","0.1","455","0.0"
"","Telangana","7992","0","167.8","87.5","1.4","481","0.0"
"","Karnataka","9980","0","198.4","61.8","1.3","498","0.0"
"","Kerala","3618","0","67.9","50.6","0.9","299","0.0"
"","Tamil Nadu","10220","0","228.2","162.6","1.6","465","0.0"
"","Puducherry","239","0","4.5","5.0","-0.4","27","0.0"
"ER","Bihar","4483","0","82.8","83.8","-2.1","40","0.0"
"","DVC","1477","0","28.9","-25.8","0.0","200","0.0"
"","Jharkhand","1144","0","22.7","17.7","-0.2","141","0.0"
"","Odisha","3520","0","72.8","-2.8","0.4","152","0.0"
"","West Bengal","6795","0","130.3","38.4","-0.9","142","0.0"
"","Sikkim","82","0","0.9","1.2","-0.3","15","0.0"
"NER","Arunachal Pradesh","109","1","1.5","1.5","-0.1","6","0.0"
"","Assam","1252","20","19.2","16.2","0.0","133","0.6"
"","Manipur","180","1","2.1","2.2","-0.1","12","0.0"
"","Meghalaya","249","0","3.9","3.5","-0.1","23","0.1"
"","Mizoram","95","1","1.5","1.3","-0.1","23","0.0"
"","Nagaland","117","2","2.3","2.0","0.2","16","0.0"
"","Tripura","213","1","3.1","2.6","-0.1","51","0.5"
