"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6496","0","132.6","77.5","-1.3","46","0.0"
"","Haryana","6637","0","136.2","86.9","0.4","297","0.0"
"","Rajasthan","13869","0","249.3","82.7","-0.3","215","0.0"
"","Delhi","3782","0","62.6","47.0","-0.3","472","0.0"
"","UP","15115","160","278.7","117.7","0.0","424","0.7"
"","Uttarakhand","2018","0","36.7","17.5","-0.7","92","0.0"
"","HP","1578","0","26.6","19.5","0.1","289","0.0"
"","J&K(UT) and Ladakh(UT)","2311","578","48.1","46.2","0.1","229","12.1"
"","Chandigarh","221","0","3.5","3.6","-0.1","13","0.0"
"WR","Chhattisgarh","3836","0","83.8","35.2","-1.0","249","0.0"
"","Gujarat","16071","0","347.0","98.5","3.1","655","0.0"
"","MP","14519","0","269.4","140.1","-3.1","802","0.0"
"","Maharashtra","23069","0","474.5","154.4","-1.5","724","0.0"
"","Goa","481","0","9.9","9.8","-0.4","38","0.0"
"","DD","323","0","7.3","7.0","0.3","30","0.0"
"","DNH","781","0","18.4","18.4","0.0","28","0.0"
"","Essar steel","780","0","10.7","10.9","-0.2","241","0.0"
"SR","Andhra Pradesh","9260","0","189.7","71.5","0.0","416","0.0"
"","Telangana","11698","0","236.2","124.6","0.6","520","0.0"
"","Karnataka","12360","0","242.0","88.3","-0.6","429","0.0"
"","Kerala","3753","0","78.5","59.7","1.6","251","0.0"
"","Tamil Nadu","14637","0","307.8","164.9","1.2","575","0.0"
"","Pondy","363","0","7.6","7.9","-0.3","21","0.0"
"ER","Bihar","3959","0","74.8","71.4","1.6","200","0.0"
"","DVC","3154","0","64.3","-40.3","0.0","190","0.0"
"","Jharkhand","1267","0","23.5","17.6","0.3","190","0.0"
"","Odisha","3516","0","71.2","-1.3","-0.5","210","0.0"
"","West Bengal","6826","0","120.6","31.3","0.1","220","0.0"
"","Sikkim","133","0","2.0","1.7","0.3","50","0.0"
"NER","Arunachal Pradesh","120","2","2.3","2.1","0.0","25","0.0"
"","Assam","1387","17","22.8","20.8","0.6","153","0.3"
"","Manipur","210","3","2.7","3.0","-0.3","25","0.0"
"","Meghalaya","371","0","6.6","5.5","-0.2","69","0.2"
"","Mizoram","102","1","1.6","1.7","-0.1","25","0.0"
"","Nagaland","129","1","2.3","2.0","0.2","26","0.0"
"","Tripura","222","1","3.6","1.5","-0.1","29","0.0"
