"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9991","0","217.0","129.2","-0.7","117","0.0"
"","Haryana","7890","0","166.9","128.3","0.2","187","0.0"
"","Rajasthan","10263","0","228.1","74.2","1.0","493","0.0"
"","Delhi","5355","0","109.9","92.7","0.0","351","0.2"
"","UP","16169","0","336.6","173.8","2.6","591","1.4"
"","Uttarakhand","1733","5","36.4","18.1","0.8","264","2.1"
"","HP","1353","0","26.4","-6.3","5.9","707","0.3"
"","J&K","2248","562","40.1","14.8","-0.2","539","9.6"
"","Chandigarh","264","0","5.2","5.2","-0.1","13","0.0"
"WR","Chhattisgarh","3524","0","79.8","16.2","-2.6","214","0.0"
"","Gujarat","15824","0","355.2","91.7","6.5","1770","0.0"
"","MP","7699","0","171.3","76.6","-1.2","724","0.0"
"","Maharashtra","20590","0","452.7","124.0","2.6","660","0.1"
"","Goa","444","0","9.5","9.2","-0.3","41","0.0"
"","DD","347","0","7.7","6.8","0.9","99","0.0"
"","DNH","779","0","18.2","16.7","1.5","117","0.0"
"","Essar steel","593","0","12.4","12.2","0.2","311","0.0"
"SR","Andhra Pradesh","8127","0","173.8","14.1","0.1","459","0.0"
"","Telangana","9535","0","201.3","101.9","1.2","404","0.0"
"","Karnataka","8889","0","183.5","41.3","-0.4","471","0.0"
"","Kerala","3284","0","63.2","23.3","0.3","228","0.0"
"","Tamil Nadu","12168","0","270.3","67.9","-1.0","456","0.0"
"","Pondy","314","0","6.4","6.7","-0.3","24","0.0"
"ER","Bihar","4580","0","84.6","85.8","-1.4","50","0.0"
"","DVC","2924","0","66.3","-23.5","2.3","340","1.2"
"","Jharkhand","1035","0","22.6","18.0","-1.0","10","0.0"
"","Odisha","5200","0","98.9","52.5","1.4","380","0.6"
"","West Bengal","8227","0","159.0","55.8","4.5","520","0.0"
"","Sikkim","85","0","0.8","1.2","-0.4","10","0.0"
"NER","Arunachal Pradesh","114","2","2.1","2.6","-0.6","12","0.0"
"","Assam","1701","94","30.8","26.7","0.3","199","1.0"
"","Manipur","170","1","2.3","2.5","-0.2","25","0.0"
"","Meghalaya","301","1","5.7","0.8","-0.1","22","0.0"
"","Mizoram","79","2","1.7","1.0","0.3","25","0.0"
"","Nagaland","116","1","2.2","2.0","-0.2","47","0.0"
"","Tripura","273","1","4.6","5.9","0.1","42","0.0"
