"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4817","0","99.9","58.9","-0.3","101"
"","Haryana","5252","18","95.1","64.0","-1.8","106"
"","Rajasthan","6855","0","155.1","43.6","-3.2","162"
"","Delhi","3532","1","72.7","58.8","-0.9","153"
"","UP","11753","2460","248.2","107.8","-3.1","431"
"","Uttarakhand","1520","205","31.1","20.6","1.5","162"
"","HP","1284","0","24.5","12.3","0.5","97"
"","J&K","1496","100","31.7","20.3","-1.5","60"
"","Chandigarh","195","0","3.8","3.3","0.5","33"
"WR","Chhattisgarh","3366","64","71.0","25.1","1.2","260"
"","Gujarat","12604","0","282.6","53.5","-0.1","300"
"","MP","6976","30","152.2","79.0","-1.8","240"
"","Maharashtra","19286","171","414.0","127.9","3.6","550"
"","Goa","399","102","8.4","7.0","0.8","62"
"","DD","275","1","6.2","6.1","0.1","22"
"","DNH","660","3","15.1","15.1","0.0","42"
"","Essar steel","491","2","10.4","11.3","-0.9","29"
"SR","Andhra Pradesh","11455","1600","264.3","89.3","4.7","439"
"","Karnataka","8730","300","188.5","34.6","-0.6","344"
"","Kerala","3099","0","61.7","31.1","1.1","200"
"","Tamil Nadu","12358","782","276.7","98.6","0.5","333"
"","Pondy","342","0","7.0","7.3","-0.4","31"
"ER","Bihar","2348","300","48.2","40.0","5.6","500"
"","DVC","2509","0","57.8","-12.7","0.3","250"
"","Jharkhand","928","0","19.9","9.8","-0.4","120"
"","Odisha","3688","0","73.9","18.1","-2.5","310"
"","West Bengal","7041","105","145.5","41.2","1.0","450"
"","Sikkim","110","0","1.5","1.2","0.3","25"
"NER","Arunachal Pradesh","75","25","1.0","1.1","-0.1","26"
"","Assam","998","225","19.5","11.7","3.5","111"
"","Manipur","105","10","1.7","1.4","0.3","48"
"","Meghalaya","253","13","3.8","3.3","-0.1","81"
"","Mizoram","73","2","1.1","1.0","-0.1","20"
"","Nagaland","95","5","1.4","1.5","-0.4","25"
"","Tripura","240","0","2.8","1.0","-0.6","72"
