"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4418","0","91.0","41.7","1.8","298"
"","Haryana","5769","0","104.3","75.8","-1.3","169"
"","Rajasthan","9853","0","202.8","72.3","3.3","285"
"","Delhi","2907","0","55.2","40.4","0.5","236"
"","UP","12538","70","254.1","93.1","0.3","340"
"","Uttarakhand","1679","0","31.5","19.4","2.2","245"
"","HP","1354","0","24.0","17.0","0.8","132"
"","J&K","2000","500","42.0","34.7","0.2","152"
"","Chandigarh","169","0","3.1","3.3","-0.2","14"
"WR","Chhattisgarh","2979","0","63.4","12.7","-1.4","210"
"","Gujarat","12245","0","265.7","72.8","-0.4","619"
"","MP","9974","0","214.4","130.7","-3.7","481"
"","Maharashtra","20523","0","429.9","117.4","1.3","648"
"","Goa","442","0","8.9","8.4","-0.2","71"
"","DD","296","0","6.6","6.5","0.1","33"
"","DNH","723","0","16.5","16.8","-0.3","12"
"","Essar steel","457","0","8.5","8.9","-0.4","164"
"SR","Andhra Pradesh","7123","0","161.1","31.5","1.9","508"
"","Telangana","6714","0","139.7","68.9","2.5","319"
"","Karnataka","8810","500","198.2","69.5","5.5","510"
"","Kerala","3622","0","65.3","52.3","3.0","310"
"","Tamil Nadu","13234","0","294.6","140.0","4.8","926"
"","Pondy","335","0","6.9","7.0","-0.1","20"
"ER","Bihar","3314","0","66.0","60.7","2.2","200"
"","DVC","2385","0","57.4","-","-1.9","0"
"","Jharkhand","1136","0","20.4","14.9","1.2","200"
"","Odisha","3876","0","67.7","20.9","1.2","200"
"","West Bengal","6942","0","105.2","23.7","1.3","100"
"","Sikkim","92","0","1.3","1.4","-0.1","10"
"NER","Arunachal Pradesh","120","1","1.8","1.9","-0.1","9"
"","Assam","1413","13","23.6","18.7","1.7","121"
"","Manipur","131","3","2.0","2.0","0.0","10"
"","Meghalaya","252","16","4.2","3.5","-0.3","20"
"","Mizoram","84","1","1.3","1.1","0.2","14"
"","Nagaland","97","6","1.8","1.8","0.0","11"
"","Tripura","205","0","4.6","2.4","1.5","82"
