"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5330","0","95.5","35.6","1.2","228"
"","Haryana","5609","0","108.4","46.7","0.5","333"
"","Rajasthan","9477","0","195.4","76.8","-3.8","198"
"","Delhi","3564","7","61.7","43.6","-2.3","111"
"","UP","10027","1630","222.6","93.4","-2.9","288"
"","Uttarakhand","1639","40","32.4","24.7","-0.1","161"
"","HP","1245","10","23.9","19.8","-0.2","128"
"","J&K","1900","100","42.0","32.8","2.9","284"
"","Chandigarh","199","0","3.4","3.1","0.3","30"
"WR","Chhattisgarh","2943","5","65.1","15.0","-1.3","254"
"","Gujarat","11288","0","235.9","36.2","2.2","838"
"","MP","8771","0","170.8","85.4","-3.5","524"
"","Maharashtra","16915","118","352.2","111.7","7.4","683"
"","Goa","348","0","6.7","5.9","0.0","82"
"","DD","242","0","5.8","5.7","0.1","11"
"","DNH","625","0","14.8","14.6","0.2","30"
"","Essar steel","393","0","8.4","8.2","0.2","40"
"SR","Andhra Pradesh","11640","400","257.4","83.9","5.4","643"
"","Karnataka","8026","300","175.4","20.4","1.6","308"
"","Kerala","3072","150","54.7","20.0","2.0","308"
"","Tamil Nadu","11629","709","248.8","74.0","2.2","340"
"","Pondy","288","0","5.8","6.8","-1.1","0"
"ER","Bihar","2011","100","39.9","36.9","0.4","190"
"","DVC","2833","0","55.6","-16.7","-2.1","440"
"","Jharkhand","1160","0","21.1","11.5","-1.7","100"
"","Odisha","3698","0","70.3","14.6","5.3","530"
"","West Bengal","5623","0","97.8","14.4","6.4","380"
"","Sikkim","102","0","1.5","1.5","0.0","24"
"NER","Arunachal Pradesh","107","8","1.6","1.4","0.2","32"
"","Assam","1036","138","20.3","12.8","2.5","169"
"","Manipur","120","5","1.7","1.8","-0.2","36"
"","Meghalaya","283","2","5.1","3.8","0.2","97"
"","Mizoram","74","4","1.0","1.0","-0.2","40"
"","Nagaland","98","7","1.5","1.6","-0.3","20"
"","Tripura","191","1","3.0","1.0","-0.6","2"
