"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9389","0","209.5","134.7","-0.8","207","0.0"
"","Haryana","8927","0","187.7","155.6","-0.3","181","0.0"
"","Rajasthan","9691","0","215.6","59.8","-3.3","214","0.0"
"","Delhi","5786","0","117.8","100.8","-0.9","147","0.1"
"","UP","18608","0","379.5","176.4","-0.5","747","0.0"
"","Uttarakhand","1846","0","41.4","14.6","-0.2","58","0.0"
"","HP","1317","0","26.7","-0.4","-1.0","27","0.0"
"","J&K","2178","544","41.2","19.2","2.5","349","9.9"
"","Chandigarh","286","0","5.5","6.3","-0.7","9","0.0"
"WR","Chhattisgarh","4041","0","94.2","39.5","0.7","243","0.0"
"","Gujarat","14040","0","312.7","40.3","2.7","480","0.0"
"","MP","7871","0","174.0","73.9","-4.5","622","0.0"
"","Maharashtra","19586","0","431.6","146.8","1.3","305","0.0"
"","Goa","541","0","11.9","11.0","0.3","73","0.0"
"","DD","347","0","7.6","7.0","0.6","104","0.0"
"","DNH","805","0","18.4","18.6","-0.2","88","0.0"
"","Essar steel","408","0","8.2","8.1","0.1","265","0.0"
"SR","Andhra Pradesh","7029","0","159.9","22.9","-1.1","425","0.0"
"","Telangana","10581","0","217.8","73.6","0.0","502","0.0"
"","Karnataka","8512","0","169.0","24.6","0.5","663","0.0"
"","Kerala","3331","0","67.2","44.9","2.1","281","0.0"
"","Tamil Nadu","13087","0","283.3","109.2","-1.8","479","0.0"
"","Pondy","378","0","7.7","8.0","-0.3","41","0.0"
"ER","Bihar","5520","0","111.8","107.2","0.2","210","0.0"
"","DVC","2979","0","63.7","-34.6","-0.2","100","0.0"
"","Jharkhand","1126","0","26.2","16.3","1.3","100","0.0"
"","Odisha","4972","0","107.0","37.4","4.4","690","0.0"
"","West Bengal","9095","0","180.0","104.2","1.7","360","0.0"
"","Sikkim","91","0","1.0","1.3","-0.3","10","0.0"
"NER","Arunachal Pradesh","131","2","2.4","2.3","0.1","63","0.0"
"","Assam","1902","93","38.0","31.8","1.3","155","1.2"
"","Manipur","168","4","2.5","2.4","0.1","21","0.0"
"","Meghalaya","321","0","5.4","0.4","-0.2","161","0.0"
"","Mizoram","96","1","1.6","0.5","0.7","31","0.0"
"","Nagaland","143","3","2.5","2.2","-0.1","50","0.0"
"","Tripura","292","4","5.3","4.1","0.7","85","0.1"
