"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8532","865","190.9","125.0","0.3","162"
"","Haryana","7742","0","168.0","99.0","-0.3","356"
"","Rajasthan","6831","0","146.3","49.1","-2.6","305"
"","Delhi","4796","2","103.7","82.9","-3.1","102"
"","UP","11197","1680","246.6","124.8","-3.0","193"
"","Uttarakhand","1583","0","34.2","16.4","0.5","202"
"","HP","1118","0","24.2","1.0","-1.0","61"
"","J&K","1653","100","31.5","18.6","-1.0","175"
"","Chandigarh","298","0","5.7","6.0","-0.2","34"
"WR","Chhattisgarh","2752","15","63.9","25.4","1.7","330"
"","Gujarat","8839","80","198.1","49.5","3.9","533"
"","MP","5463","29","110.8","28.7","-1.1","350"
"","Maharashtra","13912","129","305.5","93.6","2.4","844"
"","Goa","349","2","7.1","6.4","0.3","28"
"","DD","266","1","6.2","5.6","0.6","16"
"","DNH","603","3","14.4","13.5","0.8","96"
"","Essar steel","503","3","11.3","11.6","-0.3","0"
"SR","Andhra Pradesh","9890","1000","221.3","91.3","3.0","246"
"","Karnataka","6918","500","141.1","14.8","0.9","167"
"","Kerala","2849","75","53.0","28.8","1.4","232"
"","Tamil Nadu","11288","594","249.2","82.1","-0.1","358"
"","Pondy","320","0","6.1","7.4","-1.2","7"
"ER","Bihar","2060","0","43.5","44.5","-1.0","200"
"","DVC","2570","0","58.6","-23.1","-3.1","220"
"","Jharkhand","976","0","21.1","14.6","-0.5","100"
"","Odisha","3544","0","69.6","16.1","-0.4","230"
"","West Bengal","6889","5","133.8","42.0","3.6","410"
"","Sikkim","76","0","1.2","1.1","0.1","23"
"NER","Arunachal Pradesh","96","4","1.1","1.6","-0.4","36"
"","Assam","1141","160","23.2","14.2","3.1","276"
"","Manipur","114","1","1.3","2.2","-0.9","10"
"","Meghalaya","252","14","4.7","0.3","-0.2","29"
"","Mizoram","57","3","1.0","0.9","0.1","7"
"","Nagaland","91","4","1.5","1.2","-0.1","11"
"","Tripura","182","39","3.2","1.5","0.0","46"
