"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7856","0","171.0","101.4","-1.3","80"
"","Haryana","7014","0","148.0","85.8","-3.2","215"
"","Rajasthan","9021","0","201.1","81.4","1.4","345"
"","Delhi","5067","57","111.5","84.4","-0.7","212"
"","UP","12277","2135","280.4","133.1","-0.1","478"
"","Uttarakhand","1726","75","36.7","18.1","1.4","154"
"","HP","1157","0","24.2","0.0","0.0","63"
"","J&K","1510","100","27.9","16.3","-2.1","52"
"","Chandigarh","338","0","6.4","5.5","0.9","85"
"WR","Chhattisgarh","2798","66","70.3","22.8","3.1","171"
"","Gujarat","13105","53","288.8","55.5","-2.9","590"
"","MP","6953","41","153.5","86.1","-2.1","570"
"","Maharashtra","19584","750","407.9","117.5","2.4","1133"
"","Goa","416","2","9.2","8.0","0.7","0"
"","DD","276","1","6.0","5.8","0.2","58"
"","DNH","675","4","15.5","15.1","0.4","31"
"","Essar steel","460","3","10.2","10.6","-0.4","11"
"SR","Andhra Pradesh","5572","100","119.9","21.0","-3.0","459"
"","Telangana","5241","1400","124.3","71.5","8.0","623"
"","Karnataka","7341","0","149.4","14.7","-0.2","353"
"","Kerala","2721","575","55.7","34.1","2.0","264"
"","Tamil Nadu","12334","0","256.8","77.6","-1.7","408"
"","Pondy","312","0","6.7","6.8","-0.2","25"
"ER","Bihar","2322","200","46.1","42.6","0.4","245"
"","DVC","2464","0","57.1","-19.3","-0.5","305"
"","Jharkhand","908","0","20.0","9.5","-1.5","105"
"","Odisha","3801","0","76.4","14.9","1.4","385"
"","West Bengal","7248","0","137.5","31.5","3.0","546"
"","Sikkim","69","0","1.5","1.2","0.3","30"
"NER","Arunachal Pradesh","110","6","1.7","1.3","0.4","39"
"","Assam","1141","186","21.6","14.4","2.6","246"
"","Manipur","113","8","1.5","1.6","-0.1","49"
"","Meghalaya","262","9","4.3","1.0","-0.4","77"
"","Mizoram","71","7","1.1","1.0","-0.2","21"
"","Nagaland","104","6","1.4","1.3","-0.1","42"
"","Tripura","219","41","3.0","1.2","-0.4","56"
