"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8682","800","198.7","126.7","-0.9","86"
"","Haryana","6964","0","157.1","111.8","-2.4","172"
"","Rajasthan","5816","0","125.9","48.6","-6.7","8"
"","Delhi","4675","0","93.7","77.4","-0.2","286"
"","UP","11038","1900","242.5","121.4","-1.5","318"
"","Uttarakhand","1477","0","32.6","18.5","-1.0","95"
"","HP","1064","0","22.8","1.3","-2.4","40"
"","J&K","1529","100","28.7","17.8","-2.8","96"
"","Chandigarh","276","0","5.6","5.5","0.1","17"
"WR","Chhattisgarh","2596","257","59.1","21.9","1.4","497"
"","Gujarat","8386","62","188.2","31.9","-2.8","303"
"","MP","4914","19","101.5","26.9","-5.3","308"
"","Maharashtra","12804","103","282.3","79.4","5.8","869"
"","Goa","347","1","7.4","8.1","-1.1","23"
"","DD","250","1","6.0","5.7","0.3","42"
"","DNH","597","32","14.0","13.5","0.5","51"
"","Essar steel","435","18","9.4","10.1","-0.8","0"
"SR","Andhra Pradesh","10546","500","235.9","75.4","3.0","689"
"","Karnataka","6047","500","124.0","8.0","0.0","271"
"","Kerala","2776","0","48.5","18.8","0.4","250"
"","Tamil Nadu","10859","543","246.1","75.2","-1.5","474"
"","Pondy","288","0","6.2","6.6","-0.4","17"
"ER","Bihar","1886","550","39.8","40.4","-0.5","140"
"","DVC","2562","100","56.3","-28.7","1.0","80"
"","Jharkhand","999","0","19.2","14.6","-1.2","100"
"","Odisha","3520","0","67.8","11.1","2.2","230"
"","West Bengal","6216","0","123.6","33.8","3.0","340"
"","Sikkim","76","0","1.0","0.7","0.3","12"
"NER","Arunachal Pradesh","104","1","1.4","1.3","0.0","41"
"","Assam","1105","98","23.0","13.8","4.9","310"
"","Manipur","109","1","1.5","2.0","-0.4","14"
"","Meghalaya","242","1","4.3","0.0","0.0","92"
"","Mizoram","54","4","1.0","1.0","0.1","9"
"","Nagaland","98","2","1.5","1.1","0.0","29"
"","Tripura","183","29","3.0","1.4","0.0","27"
