"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3856","0","82.0","64.3","-1.8","55","0.0"
"","Haryana","4751","50","83.4","80.7","0.3","186","0.5"
"","Rajasthan","8438","0","162.7","46.3","-1.2","496","0.0"
"","Delhi","2719","0","56.4","45.7","-1.6","53","0.0"
"","UP","15972","0","282.3","127.5","1.5","419","0.0"
"","Uttarakhand","1122","0","21.3","6.2","-0.5","196","0.0"
"","HP","792","0","13.1","0.1","-2.9","43","0.0"
"","J&K(UT) & Ladakh(UT)","1949","487","40.4","31.0","-3.5","317","9.5"
"","Chandigarh","138","0","2.6","2.6","0.1","25","0.0"
"WR","Chhattisgarh","3314","0","78.3","25.0","-1.4","189","0.0"
"","Gujarat","11417","0","260.7","67.4","4.1","557","0.0"
"","MP","8966","0","179.9","115.5","-2.3","288","0.0"
"","Maharashtra","17822","0","391.7","161.1","-0.6","363","0.0"
"","Goa","382","0","7.7","7.8","0.0","37","0.0"
"","DD","93","0","2.1","2.1","0.0","10","0.0"
"","DNH","109","0","2.4","2.3","0.1","42","0.0"
"","Essar steel","208","0","0.8","0.5","0.3","136","0.0"
"SR","Andhra Pradesh","7724","0","158.7","92.6","1.3","402","0.0"
"","Telangana","7751","0","164.6","88.3","-0.8","328","0.0"
"","Karnataka","10380","0","206.6","65.3","0.8","732","0.0"
"","Kerala","3743","0","70.8","53.1","0.9","261","0.0"
"","Tamil Nadu","10669","0","239.1","173.4","0.8","426","0.0"
"","Puducherry","243","0","4.7","4.9","-0.2","30","0.0"
"ER","Bihar","4642","0","88.8","87.0","0.7","285","0.0"
"","DVC","1487","0","30.8","-27.3","1.0","380","0.0"
"","Jharkhand","1254","0","24.8","17.6","2.3","164","0.0"
"","Odisha","3515","0","74.8","3.7","0.4","350","0.0"
"","West Bengal","6902","0","143.3","42.6","0.8","421","0.0"
"","Sikkim","97","0","1.2","1.4","-0.2","15","0.0"
"NER","Arunachal Pradesh","115","1","1.6","1.1","0.5","16","0.0"
"","Assam","1330","30","21.7","18.2","0.5","172","0.5"
"","Manipur","179","1","2.0","2.2","-0.3","17","0.0"
"","Meghalaya","260","0","4.2","3.5","0.0","34","0.1"
"","Mizoram","95","1","1.6","1.4","-0.1","10","0.0"
"","Nagaland","119","2","2.3","2.0","0.2","30","0.0"
"","Tripura","251","2","4.0","3.6","-0.2","25","0.0"
