"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4921","0","99.7","50.7","0.1","170"
"","Haryana","4850","98","95.3","62.3","-0.6","179"
"","Rajasthan","6239","0","136.9","46.4","-5.7","0"
"","Delhi","3125","0","62.0","37.7","-2.7","206"
"","UP","8905","1910","197.3","79.5","-5.4","282"
"","Uttarakhand","1431","0","28.5","16.9","0.7","150"
"","HP","1218","0","23.3","13.5","-0.2","82"
"","J&K","1443","100","29.5","19.7","-0.6","169"
"","Chandigarh","183","0","3.5","3.9","-0.3","18"
"WR","Chhattisgarh","3235","57","62.1","14.8","5.3","413"
"","Gujarat","10996","36","251.4","41.5","0.5","741"
"","MP","6973","5","127.6","58.3","-5.3","323"
"","Maharashtra","16697","645","366.5","122.7","6.1","688"
"","Goa","387","50","8.2","6.7","1.2","40"
"","DD","254","0","6.0","4.7","1.4","11"
"","DNH","569","0","13.4","11.5","1.9","21"
"SR","Andhra Pradesh","10909","2000","249.0","71.3","1.5","514"
"","Karnataka","7557","1450","163.7","23.6","0.6","245"
"","Kerala","2935","400","62.0","27.8","2.8","347"
"","Tamil Nadu","10048","2664","224.0","75.5","2.8","441"
"","Pondy","303","0","6.4","7.3","-0.9","5"
"ER","Bihar","1228","600","27.6","25.9","1.7","70"
"","DVC","2188","250","54.1","-31.1","-0.4","39"
"","Jharkhand","781","123","16.5","5.0","2.4","48"
"","Odisha","3380","0","67.2","6.3","-0.8","198"
"","West Bengal","6553","169","140.4","35.2","-3.7","220"
"","Sikkim","72","0","1.3","1.3","0.0","23"
"NER","Arunachal Pradesh","77","5","0.9","0.8","0.1","34"
"","Assam","966","209","16.1","10.0","1.8","147"
"","Manipur","92","2","1.2","1.0","0.2","44"
"","Meghalaya","275","5","4.3","2.5","0.4","69"
"","Mizoram","56","1","1.0","0.7","0.3","17"
"","Nagaland","55","10","1.0","0.7","0.3","37"
"","Tripura","185","21","3.1","0.6","0.6","48"
