"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9144","0","204.6","110.5","1.0","153"
"","Haryana","7579","0","164.3","106.9","-1.4","170"
"","Rajasthan","6652","0","148.4","43.4","0.5","242"
"","Delhi","4501","0","95.9","73.0","-2.1","228"
"","UP","11836","1670","270.4","133.9","2.4","640"
"","Uttarakhand","1598","75","34.5","16.2","0.9","144"
"","HP","1176","0","25.1","-0.4","0.9","114"
"","J&K","1624","100","26.8","17.7","-1.4","566"
"","Chandigarh","249","0","5.3","5.3","0.0","28"
"WR","Chhattisgarh","2796","130","63","16","0","282"
"","Gujarat","9555","23","216","27","0","248"
"","MP","6211","0","128","79","-2","147"
"","Maharashtra","14969","52","329","72","-3","311"
"","Goa","366","0","8","6","1","56"
"","DD","241","0","5","5","0","70"
"","DNH","644","0","13","14","-1","22"
"","Essar steel","366","0","10.6","11.0","-0.4","11"
"SR","Andhra Pradesh","5522","0","124.5","29.8","3.3","397"
"","Telangana","5580","300","119.5","66.5","3.2","633"
"","Karnataka","7849","400","155.2","18.2","1.3","433"
"","Kerala","3016","150","56.5","23.5","2.3","253"
"","Tamil Nadu","12564","0","278.4","70.9","2.1","356"
"","Pondy","297","30","6.3","6.2","0.1","33"
"ER","Bihar","2899","200","53.3","49.9","0.9","270"
"","DVC","2540","0","60.0","-15.5","-0.2","330"
"","Jharkhand","910","0","20.4","14.5","-0.1","120"
"","Odisha","3710","0","71.7","23.5","0.4","380"
"","West Bengal","6850","0","138.1","41.5","-1.3","290"
"","Sikkim","61","0","1.1","1.1","-0.1","25"
"NER","Arunachal Pradesh","110","5","1.6","1.5","0.2","27"
"","Assam","1187","142","24.9","16.4","3.5","221"
"","Manipur","122","3","1.6","2.2","-0.6","34"
"","Meghalaya","245","17","4.0","0.9","-0.3","54"
"","Mizoram","75","3","1.1","1.1","-0.2","20"
"","Nagaland","101","6","1.6","1.7","-0.4","24"
"","Tripura","202","10","2.8","1.7","-0.5","39"
