"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7882","0","177.7","124.6","0.2","243"
"","Haryana","6168","0","134.3","74.3","0.5","481"
"","Rajasthan","6191","0","144.3","52.2","-5.8","114"
"","Delhi","3665","0","81.5","60.1","-4.0","162"
"","UP","11635","130","243.7","124.8","-4.1","485"
"","Uttarakhand","1547","0","31.8","13.9","-3.1","0"
"","HP","1069","0","22.7","3.9","-3.3","65"
"","J&K","1471","100","28.2","19.4","-4.8","274"
"","Chandigarh","231","0","4.6","5.3","-0.7","0"
"WR","Chhattisgarh","2688","66","58.6","19.4","1.8","367"
"","Gujarat","9413","129","201.6","44.7","2.7","350"
"","MP","5372","60","110.7","27.3","-0.7","419"
"","Maharashtra","13852","205","304.3","97.7","5.7","482"
"","Goa","386","4","8.1","6.5","1.2","70"
"","DD","266","3","6.2","5.6","0.6","47"
"","DNH","634","6","15.1","14.3","0.9","43"
"","Essar steel","462","5","9.2","8.8","0.5","51"
"SR","Andhra Pradesh","11385","200","256.6","74.6","1.0","470"
"","Karnataka","6666","900","146.3","21.0","1.0","354"
"","Kerala","2831","75","51.6","15.0","-2.8","109"
"","Tamil Nadu","10993","538","246.0","63.7","-0.7","265"
"","Pondy","282","0","5.0","5.8","-0.7","36"
"ER","Bihar","2072","0","43.2","43.1","-1.4","100"
"","DVC","2550","0","58.0","-22.7","0.9","410"
"","Jharkhand","899","0","19.9","16.5","-1.5","230"
"","Odisha","3640","0","68.5","16.7","3.5","445"
"","West Bengal","6413","0","121.7","38.2","2.1","395"
"","Sikkim","87","0","1.2","1.7","-0.5","25"
"NER","Arunachal Pradesh","89","6","1.2","1.9","-0.7","2"
"","Assam","1040","270","22.3","15.4","1.9","119"
"","Manipur","113","2","1.3","2.4","-1.1","32"
"","Meghalaya","248","2","4.1","1.1","-1.1","90"
"","Mizoram","54","7","1.1","1.2","-0.2","9"
"","Nagaland","90","2","1.7","1.4","-0.1","20"
"","Tripura","196","24","3.1","1.4","-0.1","53"
