"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5329","0","102.9","33.8","0.5","219"
"","Haryana","6310","0","116.1","78.6","-0.8","293"
"","Rajasthan","9499","0","204.1","71.1","2.3","250"
"","Delhi","3276","0","56.7","44.9","0.0","207"
"","UP","13553","0","277.3","90.1","-0.6","202"
"","Uttarakhand","1800","0","32.4","18.3","-1.1","63"
"","HP","1345","0","26.2","21.1","0.4","92"
"","J&K","1782","446","37.0","39.1","-6.1","446"
"","Chandigarh","198","0","3.4","3.4","0.0","31"
"WR","Chhattisgarh","3154","0","70.1","7.1","-1.5","219"
"","Gujarat","13021","0","277.9","81.3","1.8","480"
"","MP","11262","0","217.9","132.8","-3.7","113"
"","Maharashtra","19965","0","402.2","128.4","-0.1","663"
"","Goa","410","0","8.4","7.4","0.4","65"
"","DD","287","0","6.5","6.4","0.1","30"
"","DNH","699","0","15.7","15.9","-0.2","34"
"","Essar steel","805","0","10.2","10.3","0.0","186"
"SR","Andhra Pradesh","6717","0","141.8","8.0","0.6","328"
"","Telangana","7616","0","150.0","80.9","1.9","221"
"","Karnataka","9186","0","194.6","64.6","5.0","624"
"","Kerala","3390","0","64.9","55.0","2.2","214"
"","Tamil Nadu","13015","0","282.0","146.8","0.5","487"
"","Pondy","307","0","6.2","6.7","-0.5","18"
"ER","Bihar","3473","200","61.1","59.3","-0.9","215"
"","DVC","2376","0","62.5","-32.3","-2.0","125"
"","Jharkhand","1102","200","23.6","14.9","1.5","100"
"","Odisha","4251","0","64.6","17.0","1.1","165"
"","West Bengal","6103","0","99.8","18.0","0.3","150"
"","Sikkim","87","0","1.3","1.3","0.0","15"
"NER","Arunachal Pradesh","114","1","1.9","1.8","0.1","21"
"","Assam","1372","9","22.0","16.6","1.2","161"
"","Manipur","138","1","2.1","2.4","-0.3","27"
"","Meghalaya","281","0","5.2","4.7","-0.1","25"
"","Mizoram","87","2","1.6","1.7","-0.1","16"
"","Nagaland","98","1","1.8","1.9","-0.1","23"
"","Tripura","215","2","4.6","1.0","1.5","69"
