"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10523","0","239.2","127.4","3.8","560","0.0"
"","Haryana","9155","0","200.4","129.0","-2.2","399","0.0"
"","Rajasthan","7683","0","166.5","74.3","-2.6","329","0.0"
"","Delhi","5152","0","108.3","89.6","-6.4","51","0.1"
"","UP","16552","0","363.9","167.4","9.8","1396","2.6"
"","Uttarakhand","1956","0","41.7","13.7","0.1","174","0.0"
"","HP","1330","0","27.2","-3.7","4.2","326","0.0"
"","J&K","1944","486","37.8","14.0","-2.3","165","9.0"
"","Chandigarh","308","0","6.4","6.7","-0.2","19","0.0"
"WR","Chhattisgarh","3542","0","84.7","29.5","-0.3","306","2.0"
"","Gujarat","10629","0","232.5","55.8","1.3","727","0.0"
"","MP","6998","0","144.7","76.5","1.8","176","0.0"
"","Maharashtra","17664","0","390.7","110.9","2.4","396","0.0"
"","Goa","415","0","8.3","8.1","0.1","80","0.0"
"","DD","314","0","6.9","6.3","0.6","28","0.0"
"","DNH","731","0","16.8","16.7","0.1","31","0.0"
"","Essar steel","541","0","10.5","9.7","0.8","182","0.0"
"SR","Andhra Pradesh","7167","0","169","54","11.6","418","0.0"
"","Telangana","8725","0","186","114","-1.6","317","0.0"
"","Karnataka","8565","0","189","76","2.7","454","0.0"
"","Kerala","3350","0","66","50","1.6","281","0.0"
"","Tamil Nadu","13877","0","312","121","5.2","480","0.0"
"","Pondy","341","0","7","7","-0.1","45","0.0"
"ER","Bihar","4101","0","78.1","74.4","0.8","350","0.0"
"","DVC","2701","0","61.2","-25.6","1.0","420","0.5"
"","Jharkhand","1211","0","23.5","15.6","0.1","170","0.0"
"","Odisha","4200","0","81.8","25.5","0.1","100","0.0"
"","West Bengal","8140","0","156.3","52.7","1.4","340","0.0"
"","Sikkim","92","0","1.2","1.2","0.0","20","0.0"
"NER","Arunachal Pradesh","118","3","2.1","2.3","-0.2","0","0.0"
"","Assam","1580","125","30.4","23.6","1.9","178","1.1"
"","Manipur","135","6","2.0","2.0","0.0","19","0.1"
"","Meghalaya","264","0","4.8","-0.8","-0.3","47","0.0"
"","Mizoram","74","2","1.3","1.1","0.1","20","0.0"
"","Nagaland","114","2","2.2","2.0","0.0","20","0.0"
"","Tripura","244","3","4.3","2.9","1.0","165","0.1"
