"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6631","0","112.0","102.3","-13.9","236"
"","Haryana","5456","0","109.6","85.0","-5.1","566"
"","Rajasthan","6195","0","139.8","64.3","-2.9","62"
"","Delhi","4367","4","89.3","70.9","-2.7","251"
"","UP","11132","1320","230.9","107.1","-4.0","488"
"","Uttarakhand","1402","0","30.8","12.7","-2.1","53"
"","HP","1033","0","21.1","2.8","-3.7","0"
"","J&K","1324","100","23.9","14.0","-3.5","93"
"","Chandigarh","210","0","4.1","5.5","-1.4","0"
"WR","Chhattisgarh","2505","5","53.0","12.9","-1.9","198"
"","Gujarat","10444","30","218.3","56.9","3.0","890"
"","MP","5219","2","107.0","45.8","-0.2","652"
"","Maharashtra","13477","118","298.3","72.5","10.9","1503"
"","Goa","381","0","7.5","7.2","-0.2","22"
"","DD","251","0","5.8","5.9","-0.1","12"
"","DNH","580","0","13.7","13.8","-0.1","23"
"SR","Andhra Pradesh","9419","1500","207.8","65.2","2.5","537"
"","Karnataka","6776","500","135.6","23.5","-0.2","185"
"","Kerala","2129","450","46.5","32.1","1.6","324"
"","Tamil Nadu","11069","1103","248.2","58.7","2.9","490"
"","Pondy","305","18","6.5","6.7","-0.2","37"
"ER","Bihar","1962","400","36.4","38.6","-2.2","160"
"","DVC","2564","0","56.0","-20.9","1.8","250"
"","Jharkhand","822","0","17.7","14.6","-0.5","180"
"","Odisha","3134","0","67.8","13.4","4.1","400"
"","West Bengal","6517","19","121.1","31.5","3.8","300"
"","Sikkim","87","0","1.2","1.1","0.2","20"
"NER","Arunachal Pradesh","92","8","1.3","1.2","0.1","58"
"","Assam","1110","133","23.1","15.0","3.1","169"
"","Manipur","99","11","1.6","1.7","-0.1","52"
"","Meghalaya","254","7","4.3","1.0","0.7","61"
"","Mizoram","41","11","0.9","0.9","0.0","13"
"","Nagaland","78","12","1.5","1.2","0.1","22"
"","Tripura","205","10","2.8","0.8","0.5","66"
