"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5088","0","93.4","41.2","3.3","369"
"","Haryana","5433","0","103.9","39.9","-0.1","320"
"","Rajasthan","8762","0","194.4","74.8","-1.3","331"
"","Delhi","3244","0","58.7","44.7","1.3","395"
"","UP","9480","2300","213.0","86.0","-6.2","223"
"","Uttarakhand","1639","75","30.8","19.2","0.6","157"
"","HP","1733","1","32.7","19.0","8.6","837"
"","J&K","1941","100","36.2","30.3","0.7","300"
"","Chandigarh","188","0","3.4","3.2","0.3","29"
"WR","Chhattisgarh","2907","2","52.3","19.0","-7.3","364"
"","Gujarat","11328","22","241.6","51.3","-0.8","382"
"","MP","9765","0","199.8","115.6","-1.7","372"
"","Maharashtra","17457","346","359.2","112.5","7.2","477"
"","Goa","377","0","7.8","7.4","0.1","62"
"","DD","239","0","5.7","6.2","-0.5","73"
"","DNH","591","0","13.7","13.4","0.3","55"
"","Essar steel","280","0","5.0","5.3","0.0","25"
"SR","Andhra Pradesh","10546","0","235.5","89.0","4.4","453"
"","Karnataka","7880","600","167.5","22.1","1.8","296"
"","Kerala","3333","150","59.3","33.9","3.1","265"
"","Tamil Nadu","10253","1781","223.8","68.9","0.9","474"
"","Pondy","289","0","5.5","6.0","-0.6","16"
"ER","Bihar","1698","0","38.5","36.1","-0.1","50"
"","DVC","2518","0","56.5","-18.0","0.9","260"
"","Jharkhand","990","0","20.7","11.6","-0.9","120"
"","Odisha","3448","0","62.2","14.4","4.1","300"
"","West Bengal","6520","0","94.0","10.0","5.5","210"
"","Sikkim","98","0","2.3","1.2","1.0","16"
"NER","Arunachal Pradesh","118","7","1.8","1.2","0.6","59"
"","Assam","953","188","17.1","10.5","1.1","168"
"","Manipur","108","2","1.6","1.5","0.1","36"
"","Meghalaya","287","1","4.9","2.8","0.3","75"
"","Mizoram","68","4","1.2","0.9","0.0","26"
"","Nagaland","98","2","1.6","1.3","0.0","28"
"","Tripura","175","7","2.9","0.0","0.5","45"
