"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","5222","0","105.7","72.0","-0.1","203","0.0"
"","Haryana","5698","0","115.1","85.5","1.2","204","0.0"
"","Rajasthan","10895","0","202.4","53.2","-1.0","456","0.0"
"","Delhi","3215","0","59.1","44.2","-2.0","75","0.0"
"","UP","15116","0","255.7","116.2","1.1","901","0.0"
"","Uttarakhand","1712","0","33.4","15.1","-0.2","132","0.0"
"","HP","1434","60","21.1","16.9","-0.6","204","0.0"
"","J&K(UT) & Ladakh(UT)","2434","609","47.7","39.9","-0.7","184","9.3"
"","Chandigarh","166","0","2.8","3.1","-0.3","16","0.0"
"WR","Chhattisgarh","3848","0","84.4","31.9","-1.8","152","0.0"
"","Gujarat","16816","0","357.9","76.4","2.0","494","0.0"
"","MP","9846","0","191.5","104.9","-0.2","581","0.0"
"","Maharashtra","22272","0","468.2","147.4","-0.5","467","0.0"
"","Goa","478","0","9.9","10.0","-0.1","43","0.0"
"","DD","328","0","7.4","7.0","0.4","44","0.0"
"","DNH","818","0","18.9","18.9","0.0","32","0.0"
"","Essar steel","814","0","5.2","5.1","0.1","288","0.0"
"SR","Andhra Pradesh","9810","0","192.9","92.8","0.3","873","0.0"
"","Telangana","11541","0","236.8","128.6","0.1","547","0.0"
"","Karnataka","12039","0","244.8","78.3","1.0","437","0.0"
"","Kerala","3738","0","81.7","59.2","1.5","238","0.0"
"","Tamil Nadu","14695","0","339.8","207.3","1.1","638","0.0"
"","Puducherry","385","0","8.3","8.6","-0.3","19","0.0"
"ER","Bihar","3822","0","68.6","68.0","-1.6","200","0.0"
"","DVC","2952","0","61.7","-43.8","1.0","440","0.0"
"","Jharkhand","1201","0","23.3","15.0","-1.1","95","0.0"
"","Odisha","3463","0","71.6","-4.6","0.9","360","0.0"
"","West Bengal","6734","0","135.2","34.7","2.5","450","0.0"
"","Sikkim","102","0","1.4","1.7","-0.3","18","0.0"
"NER","Arunachal Pradesh","121","1","2.2","2.2","-0.1","36","0.0"
"","Assam","1408","42","24.0","20.0","0.6","88","0.4"
"","Manipur","186","2","2.7","2.5","0.2","28","0.0"
"","Meghalaya","357","0","5.8","4.0","0.5","81","0.1"
"","Mizoram","101","1","1.8","1.3","0.3","33","0.0"
"","Nagaland","124","1","2.2","2.0","0.1","10","0.0"
"","Tripura","239","2","3.8","2.7","-0.4","36","0.0"
