"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5462","0","112.3","45.5","-1.3","11","0.0"
"","Haryana","5735","0","116.8","76.0","0.7","155","0.0"
"","Rajasthan","10751","0","217.2","65.3","-2.0","174","0.0"
"","Delhi","3434","0","58.1","52.0","-1.0","138","0.0"
"","UP","12792","130","273.1","121.3","0.1","271","0.0"
"","Uttarakhand","1777","0","33.4","16.9","-0.5","140","0.0"
"","HP","1442","0","25.1","18.0","-0.3","97","0.3"
"","J&K","2193","548","45.3","37.7","0.6","442","10.6"
"","Chandigarh","171","0","2.8","3.2","-0.4","8","0.0"
"WR","Chhattisgarh","4100","0","94.0","46.1","-0.5","271","0.0"
"","Gujarat","14879","0","325.8","106.0","1.1","711","0.0"
"","MP","11389","0","217.7","112.4","-0.8","443","0.0"
"","Maharashtra","19992","0","429.6","135.1","-0.4","513","0.0"
"","Goa","52","5","9.5","8.8","0.1","35","0.1"
"","DD","313","0","7.2","6.9","0.2","37","0.0"
"","DNH","765","0","17.9","18.1","-0.1","74","0.0"
"","Essar steel","316","0","6.6","6.5","0.1","262","0.0"
"SR","Andhra Pradesh","8861","0","195.0","75.8","0.3","542","0.0"
"","Telangana","9917","0","220.5","98.9","0.5","579","0.0"
"","Karnataka","11488","0","231.5","72.6","-0.3","720","0.0"
"","Kerala","3808","0","72.3","57.1","0.5","287","0.0"
"","Tamil Nadu","14085","0","319.5","168.7","-1.3","477","0.0"
"","Pondy","364","20","7.4","7.9","-0.4","34","0.2"
"ER","Bihar","4045","0","73.3","66.5","1.3","460","0.0"
"","DVC","3004","0","66.0","-47.3","-0.3","396","0.0"
"","Jharkhand","1032","0","23.6","18.1","-0.4","169","0.0"
"","Odisha","4201","0","83.3","31.5","1.4","267","0.0"
"","West Bengal","6717","0","121.8","32.7","-0.8","309","0.0"
"","Sikkim","88","0","1.2","1.5","-0.3","18","0.0"
"NER","Arunachal Pradesh","128","2","2.4","2.3","0.1","33","0.0"
"","Assam","1322","41","22.5","17.9","0.9","130","0.4"
"","Manipur","169","3","2.4","2.6","-0.3","23","0.0"
"","Meghalaya","336","0","6.3","5.2","0.1","42","0.0"
"","Mizoram","84","1","1.4","1.5","-0.3","8","0.0"
"","Nagaland","126","2","1.8","1.9","-0.1","33","0.0"
"","Tripura","214","1","3.2","2.1","-0.3","51","0.0"
