"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9964","0","216.8","118.0","-0.4","95","0.0"
"","Haryana","8414","236","175.4","111.8","5.5","765","0.2"
"","Rajasthan","9290","0","209.4","71.6","1.4","463","0.0"
"","Delhi","5441","0","111.4","86.6","-1.0","169","0.1"
"","UP","16757","955","372.5","183.6","1.8","301","0.0"
"","Uttarakhand","1886","0","39.1","11.2","0.2","99","0.0"
"","HP","1293","0","26.5","0.1","1.5","165","0.1"
"","J&K","1924","481","40.4","13.7","0.7","182","9.6"
"","Chandigarh","261","0","5.2","5.8","-0.5","0","0.0"
"WR","Chhattisgarh","3692","0","86.0","22.2","-0.4","147","0.0"
"","Gujarat","12354","0","272.0","60.8","-1.6","364","0.0"
"","MP","7594","0","169.4","92.3","0.7","396","0.0"
"","Maharashtra","17720","0","397.2","113.2","0.2","326","0.0"
"","Goa","389","0","8.0","8.5","-0.5","55","0.0"
"","DD","329","0","7.4","6.4","1.0","84","0.0"
"","DNH","751","0","17.1","15.9","1.2","176","0.0"
"","Essar steel","379","0","7.3","6.9","0.4","172","0.0"
"SR","Andhra Pradesh","6515","0","151","25","4.6","703","0.0"
"","Telangana","8271","0","173","86","0.4","607","0.0"
"","Karnataka","8003","0","170","65","3.5","549","0.0"
"","Kerala","3392","0","67","46","1.9","380","0.0"
"","Tamil Nadu","13558","0","297","125","13.2","644","0.0"
"","Pondy","343","0","7","7","-0.2","24","0.0"
"ER","Bihar","4285","0","81.1","75.5","2.3","250","0.0"
"","DVC","2726","0","52.9","-21.0","1.4","350","0.0"
"","Jharkhand","1192","0","23.6","16.7","-0.8","200","0.0"
"","Odisha","4079","0","85.3","24.0","2.0","400","0.0"
"","West Bengal","8064","0","150.2","56.2","2.5","200","0.0"
"","Sikkim","84","0","1.0","1.2","-0.2","20","0.0"
"NER","Arunachal Pradesh","113","2","2.0","2.0","0.0","20","0.0"
"","Assam","1559","117","28.6","23.1","1.0","356","1.2"
"","Manipur","132","2","2.2","2.1","0.1","96","0.0"
"","Meghalaya","276","0","5.5","-1.8","0.3","45","0.0"
"","Mizoram","68","3","1.2","1.3","-0.2","25","0.0"
"","Nagaland","113","1","2.2","1.6","0.4","41","0.0"
"","Tripura","275","30","5.0","2.9","1.1","142","0.2"
