"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5765","0","126.7","83.1","-0.4","142"
"","Haryana","6084","0","126.0","87.0","0.0","294"
"","Rajasthan","8183","0","179.1","42.8","0.6","462"
"","Delhi","4559","0","94.9","70.0","0.3","230"
"","UP","12951","1550","288.9","136.3","1.4","359"
"","Uttarakhand","1498","0","29.3","16.0","-0.5","211"
"","HP","1016","0","20.9","6.4","-2.9","8"
"","J&K","1618","100","30.6","19.2","-2.1","116"
"","Chandigarh","254","0","5.0","4.5","0.5","30"
"WR","Chhattisgarh","3135","53","73.4","19.0","-0.7","282"
"","Gujarat","12986","4","286.4","49.6","-1.3","328"
"","MP","6933","10","149.0","74.7","-1.4","250"
"","Maharashtra","19651","110","410.9","133.0","2.1","761"
"","Goa","416","1","8.9","8.5","0.0","94"
"","DD","279","0","6.2","6.1","0.1","38"
"","DNH","672","1","15.3","15.4","-0.1","27"
"","Essar steel","546","1","11.2","12.1","-1.0","0"
"SR","Andhra Pradesh","10818","1000","238.2","89.3","3.1","404"
"","Karnataka","7915","450","169.3","31.0","2.8","492"
"","Kerala","2998","75","56.5","36.0","1.9","277"
"","Tamil Nadu","9970","743","227.4","82.7","-1.2","365"
"","Pondy","319","0","5.7","6.2","-0.5","43"
"ER","Bihar","2108","200","42.9","38.1","1.9","285"
"","DVC","2420","0","55.7","-13.3","1.2","425"
"","Jharkhand","942","0","20.2","10.2","-1.1","85"
"","Odisha","3477","0","72.5","22.0","0.8","395"
"","West Bengal","6287","0","129.0","27.1","2.6","378"
"","Sikkim","75","0","1.2","1.1","0.1","30"
"NER","Arunachal Pradesh","90","25","1.5","1.3","0.2","60"
"","Assam","1010","279","14.5","9.0","-0.2","141"
"","Manipur","87","18","1.4","1.1","0.3","30"
"","Meghalaya","241","9","3.1","1.4","0.1","80"
"","Mizoram","62","13","0.9","0.9","-0.2","29"
"","Nagaland","88","6","1.3","1.3","-0.1","28"
"","Tripura","162","11","2.9","-0.3","1.0","60"
