"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3228","0","63.5","48.1","-0.7","238","0.0"
"","Haryana","3635","0","66.8","63.8","0.5","207","0.0"
"","Rajasthan","7996","0","145.1","50.3","-2.3","139","0.0"
"","Delhi","2413","0","44.9","33.6","-0.6","84","0.0"
"","UP","13959","425","241.2","110.0","0.4","1306","0.0"
"","Uttarakhand","1140","0","18.2","3.9","0.2","182","0.0"
"","HP","871","0","12.6","0.1","-0.6","132","0.0"
"","J&K(UT) & Ladakh(UT)","2165","541","43.5","33.2","0.8","499","10.2"
"","Chandigarh","154","0","2.2","2.2","0.0","53","0.0"
"WR","Chhattisgarh","3273","0","73.4","26.6","-2.5","280","0.0"
"","Gujarat","10148","0","221.5","63.6","2.5","587","0.0"
"","MP","8495","0","162.7","96.9","-0.9","466","0.0"
"","Maharashtra","16238","0","353.3","143.1","-1.4","556","0.0"
"","Goa","357","0","7.2","7.2","0.0","31","0.0"
"","DD","65","0","1.4","1.4","0.0","26","0.0"
"","DNH","77","0","1.7","1.7","0.0","35","0.0"
"","AMNSIL","179","0","0.7","0.5","0.2","133","0.0"
"SR","Andhra Pradesh","8321","0","163.7","91.0","-0.7","473","0.0"
"","Telangana","9662","0","200.5","108.3","0.7","1247","0.0"
"","Karnataka","11227","0","220.7","78.8","0.8","677","0.0"
"","Kerala","3727","0","70.3","52.5","0.5","225","0.0"
"","Tamil Nadu","11498","0","243.9","175.4","-2.2","479","0.0"
"","Puducherry","216","0","4.2","4.4","-0.3","72","0.0"
"ER","Bihar","4125","0","77.4","73.3","2.8","618","0.0"
"","DVC","1569","0","30.3","-19.5","-1.7","321","0.0"
"","Jharkhand","1284","0","23.0","15.2","-1.0","107","0.0"
"","Odisha","3535","0","73.2","7.7","-0.1","289","0.0"
"","West Bengal","6761","0","127.6","35.5","0.4","359","0.0"
"","Sikkim","90","0","1.1","1.4","-0.3","27","0.0"
"NER","Arunachal Pradesh","112","1","1.5","0.9","0.5","23","0.0"
"","Assam","1307","30","20.9","17.9","-0.1","86","0.6"
"","Manipur","191","1","2.4","2.2","0.2","30","0.0"
"","Meghalaya","233","0","3.4","2.9","-0.3","41","0.1"
"","Mizoram","94","2","1.6","1.3","0.0","24","0.0"
"","Nagaland","123","2","2.0","1.9","0.0","34","0.0"
"","Tripura","242","1","3.8","3.0","-0.1","48","0.0"
