"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4935","0","89.1","34.5","2.4","301"
"","Haryana","5433","0","103.7","46.3","0.4","343"
"","Rajasthan","8942","0","183.1","75.1","-1.3","243"
"","Delhi","3588","0","61.8","42.6","-1.2","154"
"","UP","9919","1555","219.6","90.5","0.3","314"
"","Uttarakhand","1694","40","32.8","21.3","1.5","158"
"","HP","1308","0","24.1","19.8","0.1","116"
"","J&K","2011","100","40.6","29.7","5.2","755"
"","Chandigarh","212","0","3.7","3.1","0.6","66"
"WR","Chhattisgarh","2875","5","62.7","14.8","-0.5","353"
"","Gujarat","11021","0","234.5","40.8","-0.8","801"
"","MP","8039","0","162.5","85.0","-2.7","390"
"","Maharashtra","17039","432","356.7","106.7","5.2","792"
"","Goa","364","0","7.3","7.1","-0.5","6"
"","DD","241","0","5.7","5.8","-0.1","13"
"","DNH","634","0","15.0","14.6","0.4","67"
"","Essar steel","372","0","7.5","7.3","0.2","29"
"SR","Andhra Pradesh","10940","0","248.6","82.5","3.3","361"
"","Karnataka","8249","300","167.0","23.1","1.1","384"
"","Kerala","3001","75","53.9","25.2","2.1","207"
"","Tamil Nadu","11311","678","243.9","80.2","1.2","310"
"","Pondy","265","0","5.3","6.1","-0.8","27"
"ER","Bihar","2030","100","41.5","36.1","2.8","225"
"","DVC","2609","0","59.5","-20.6","-1.8","150"
"","Jharkhand","1027","76","21.2","12.3","-0.7","120"
"","Odisha","3478","0","64.2","10.2","2.1","140"
"","West Bengal","5474","0","102.8","15.2","10.6","430"
"","Sikkim","67","0","1.4","1.4","0.0","21"
"NER","Arunachal Pradesh","110","5","1.6","1.4","0.2","37"
"","Assam","986","122","17.6","12.5","-0.2","125"
"","Manipur","116","9","1.5","1.7","-0.2","40"
"","Meghalaya","288","7","5.1","3.6","0.1","61"
"","Mizoram","69","11","1.2","1.1","-0.2","21"
"","Nagaland","86","14","1.7","1.5","0.0","23"
"","Tripura","195","10","2.4","1.8","-1.9","7"
