"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5815","0","134.7","47.3","-0.1","158","0.0"
"","Haryana","6498","0","129.8","61.3","4.0","280","0.0"
"","Rajasthan","12319","0","234.5","67.6","-0.9","232","0.0"
"","Delhi","3521","0","64.4","46.2","1.6","345","0.0"
"","UP","13323","0","258.3","107.3","0.8","322","1.6"
"","Uttarakhand","1960","0","37.0","25.0","1.5","293","0.0"
"","HP","1511","0","28.1","20.3","0.7","116","0.0"
"","J&K","2531","633","50.8","42.2","2.2","417","11.9"
"","Chandigarh","197","0","3.3","3.0","0.3","40","0.0"
"WR","Chhattisgarh","3627","0","76.8","9.9","1.0","318","0.6"
"","Gujarat","14984","0","328.5","113.9","2.6","403","0.0"
"","MP","13644","0","259.7","144.2","-1.0","606","0.0"
"","Maharashtra","22001","0","446.3","121.5","0.2","445","0.0"
"","Goa","499","0","10.5","9.0","1.0","74","0.0"
"","DD","318","0","7.1","6.0","1.1","91","0.0"
"","DNH","741","0","17.0","16.1","0.9","91","0.0"
"","Essar steel","500","0","10.5","10.6","-0.1","296","0.0"
"SR","Andhra Pradesh","7806","0","169.9","62.0","0.9","465","0.0"
"","Telangana","8036","0","171.4","64.7","0.4","333","0.0"
"","Karnataka","10637","0","207.5","69.8","2.0","544","0.0"
"","Kerala","3511","0","71.7","55.7","1.2","531","0.0"
"","Tamil Nadu","13438","0","274.3","127.5","1.2","394","0.0"
"","Pondy","333","0","6.7","7.1","-0.4","51","0.0"
"ER","Bihar","4005","0","68.6","69.9","-3.1","460","0.0"
"","DVC","2844","0","60.0","-20.2","-1.6","396","0.0"
"","Jharkhand","1143","55","24.8","14.1","-0.6","169","0.2"
"","Odisha","3711","0","72.8","26.4","1.8","267","0.0"
"","West Bengal","6207","0","107.0","23.0","0.3","309","0.0"
"","Sikkim","100","0","1.5","1.6","-0.1","18","0.0"
"NER","Arunachal Pradesh","111","2","2.2","1.8","0.4","47","0.0"
"","Assam","1444","24","24.2","18.4","1.7","194","0.4"
"","Manipur","178","2","2.6","2.7","-0.1","43","0.0"
"","Meghalaya","377","2","6.1","5.3","-0.5","26","0.3"
"","Mizoram","88","1","1.9","1.0","0.4","8","0.0"
"","Nagaland","118","3","2.1","1.7","0.2","35","0.0"
"","Tripura","223","3","3.8","1.4","0.4","63","0.0"
