"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3628","0","75.8","56.5","-0.2","173","0.0"
"","Haryana","4042","0","75.8","72.4","1.1","176","0.0"
"","Rajasthan","8164","0","149.5","57.9","-0.7","440","0.0"
"","Delhi","2196","0","45.8","35.7","-1.6","61","0.0"
"","UP","14682","0","241.4","108.3","2.5","1713","0.0"
"","Uttarakhand","1005","0","18.5","5.3","0.3","167","0.0"
"","HP","816","0","12.4","0.4","-0.8","70","0.0"
"","J&K(UT) & Ladakh(UT)","2035","509","40.6","31.5","-0.7","256","9.6"
"","Chandigarh","131","0","2.2","2.3","-0.1","21","0.0"
"WR","Chhattisgarh","3115","0","73.8","23.7","-1.3","418","0.0"
"","Gujarat","10655","0","240.2","77.2","3.0","544","0.0"
"","MP","8605","0","166.2","101.4","-1.1","379","0.0"
"","Maharashtra","17456","0","377.2","164.8","-0.6","421","0.0"
"","Goa","370","0","7.4","7.5","-0.1","70","0.0"
"","DD","74","0","1.6","1.6","0.0","12","0.0"
"","DNH","89","0","1.9","1.8","0.1","27","0.0"
"","Essar steel","184","0","0.7","0.4","0.3","115","0.0"
"SR","Andhra Pradesh","8595","0","164.1","93.9","0.8","628","0.0"
"","Telangana","8665","0","179.5","88.5","-1.0","598","0.0"
"","Karnataka","10603","0","199.8","71.1","0.0","618","0.0"
"","Kerala","3335","0","64.7","47.6","1.3","283","0.0"
"","Tamil Nadu","11115","0","247.0","181.5","0.7","371","0.0"
"","Puducherry","239","0","4.5","4.7","-0.2","31","0.0"
"ER","Bihar","4233","0","73.4","74.4","-2.4","200","0.0"
"","DVC","1435","0","27.8","-21.1","-0.4","290","0.0"
"","Jharkhand","1309","0","22.7","15.6","-1.0","90","0.0"
"","Odisha","3375","0","71.4","11.9","0.9","250","0.0"
"","West Bengal","6576","0","134.7","36.1","0.0","200","0.0"
"","Sikkim","93","0","1.3","1.4","-0.1","15","0.0"
"NER","Arunachal Pradesh","108","1","1.5","1.1","0.3","67","0.0"
"","Assam","1289","11","20.4","17.3","0.3","106","0.2"
"","Manipur","183","1","2.4","2.1","0.3","20","0.0"
"","Meghalaya","239","0","3.6","3.5","-0.2","76","0.1"
"","Mizoram","95","1","1.5","1.3","0.1","17","0.0"
"","Nagaland","117","2","2.1","2.0","-0.1","33","0.0"
"","Tripura","243","1","4.0","3.2","-0.2","40","0.0"
