"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3714","0","75.9","58.5","-0.8","163","0.0"
"","Haryana","4259","0","76.7","73.8","0.8","125","0.3"
"","Rajasthan","8074","0","155.5","58.2","-0.6","544","0.0"
"","Delhi","2300","0","48.4","38.4","-1.6","10","0.0"
"","UP","14831","140","260.3","120.1","2.7","550","0.0"
"","Uttarakhand","1068","0","20.3","6.5","1.3","121","0.0"
"","HP","843","0","13.2","1.5","-0.5","114","0.0"
"","J&K(UT) & Ladakh(UT)","2209","552","41.7","32.5","0.3","260","7.8"
"","Chandigarh","128","0","2.3","2.5","-0.1","14","0.0"
"WR","Chhattisgarh","3157","0","75.1","21.0","-1.3","295","0.0"
"","Gujarat","10940","0","246.0","87.1","2.6","551","0.0"
"","MP","8777","0","174.0","110.2","-0.6","451","0.0"
"","Maharashtra","17477","0","383.1","150.4","-0.2","360","0.0"
"","Goa","308","0","6.6","6.9","-0.3","32","0.0"
"","DD","83","0","1.9","1.9","0.0","8","0.0"
"","DNH","94","0","2.1","2.1","0.0","29","0.0"
"","Essar steel","191","0","0.7","0.5","0.2","108","0.0"
"SR","Andhra Pradesh","6831","0","139.7","66.8","-0.4","602","0.0"
"","Telangana","7863","0","165.5","72.9","-1.1","335","0.0"
"","Karnataka","9266","0","184.1","61.3","0.3","529","0.0"
"","Kerala","3381","0","62.9","49.1","0.4","187","0.0"
"","Tamil Nadu","9993","0","207.8","152.7","-1.2","502","0.0"
"","Puducherry","221","0","4.6","5.4","-0.8","61","0.0"
"ER","Bihar","4457","0","83.2","82.3","-0.3","249","0.0"
"","DVC","1446","0","29.2","-26.5","0.4","182","0.0"
"","Jharkhand","1247","0","22.3","14.3","-0.1","221","0.0"
"","Odisha","3257","0","69.4","3.1","0.1","252","0.0"
"","West Bengal","6770","0","137.3","40.4","0.4","309","0.0"
"","Sikkim","99","0","1.1","1.4","-0.3","7","0.0"
"NER","Arunachal Pradesh","95","11","1.4","1.2","0.1","29","0.0"
"","Assam","1050","68","12.2","9.4","0.1","117","9.0"
"","Manipur","166","12","2.1","2.3","-0.1","14","0.0"
"","Meghalaya","254","8","3.7","3.6","-0.3","85","0.1"
"","Mizoram","87","4","1.5","1.4","-0.2","19","0.0"
"","Nagaland","108","6","2.1","1.9","0.1","5","0.0"
"","Tripura","265","22","3.8","3.7","-0.5","80","0.0"
