"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5600","0","120.2","85.1","-0.3","163"
"","Haryana","5414","307","109.9","96.4","2.2","325"
"","Rajasthan","7975","0","176.0","53.6","1.6","279"
"","Delhi","4372","0","91.3","72.6","-1.4","212"
"","UP","11909","1830","266.1","125.0","-0.9","304"
"","Uttarakhand","1652","75","33.5","18.1","0.8","172"
"","HP","1199","0","27.2","5.0","0.5","203"
"","J&K","1592","100","30.8","18.0","-0.7","259"
"","Chandigarh","257","0","5.1","4.5","0.6","37"
"WR","Chhattisgarh","3045","57","69.7","15.8","-0.3","150"
"","Gujarat","13062","37","290.3","43.8","-0.3","404"
"","MP","6959","19","150.5","76.9","-2.1","268"
"","Maharashtra","17780","175","400.0","120.6","2.7","472"
"","Goa","408","1","7.7","8.5","-1.2","6"
"","DD","282","1","6.4","6.1","0.3","44"
"","DNH","654","2","15.5","15.4","0.0","25"
"","Essar steel","431","1","9.1","9.0","0.1","33"
"SR","Andhra Pradesh","10341","0","220.5","80.0","1.8","427"
"","Karnataka","7270","400","134.0","13.3","0.1","271"
"","Kerala","3176","150","56.7","37.0","2.3","307"
"","Tamil Nadu","10584","781","237.9","85.3","0.8","398"
"","Pondy","322","0","6.3","6.3","0.1","62"
"ER","Bihar","2293","400","41.4","38.5","2.0","230"
"","DVC","2650","0","57.3","-12.7","0.1","210"
"","Jharkhand","999","0","19.9","10.2","-1.0","100"
"","Odisha","3191","0","70.1","22.6","0.1","240"
"","West Bengal","6850","0","141.9","38.4","3.5","500"
"","Sikkim","37","0","0.6","1.2","-0.6","8"
"NER","Arunachal Pradesh","103","2","1.5","2.3","-0.8","9"
"","Assam","970","224","17.0","10.9","0.8","162"
"","Manipur","95","10","1.5","1.7","-0.2","6"
"","Meghalaya","215","15","3.8","2.0","-0.4","130"
"","Mizoram","69","1","1.0","1.2","-0.4","9"
"","Nagaland","99","1","1.5","1.6","-0.4","2"
"","Tripura","177","16","2.9","0.1","0.7","60"
