"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6987","0","152.2","97.8","-0.4","136"
"","Haryana","6932","0","136.2","86.7","-1.2","165"
"","Rajasthan","7943","0","181.0","74.5","0.3","253"
"","Delhi","4946","20","102.4","81.8","-3.0","127"
"","UP","12057","3020","275.6","130.5","-0.9","394"
"","Uttarakhand","1807","80","38.2","18.3","0.9","124"
"","HP","1222","0","26.0","4.3","0.6","153"
"","J&K","1842","368","36.7","22.2","-0.1","188"
"","Chandigarh","299","0","5.8","5.7","0.3","25"
"WR","Chhattisgarh","3214","0","78.1","25.2","0.8","275"
"","Gujarat","13880","0","302.1","56.8","-1.7","272"
"","MP","7133","0","154.0","96.7","-2.2","122"
"","Maharashtra","19281","101","431.0","113.9","-0.3","396"
"","Goa","431","0","9.6","8.4","0.7","105"
"","DD","281","0","6.3","6.8","-0.4","32"
"","DNH","707","0","16.4","16.5","-0.2","9"
"","Essar steel","406","0","9.0","8.7","0.2","130"
"SR","Andhra Pradesh","6532","0","148.3","38.2","1.7","707"
"","Telangana","5737","200","131.2","80.3","0.4","264"
"","Karnataka","7839","300","163.8","23.1","0.3","370"
"","Kerala","3431","125","66.0","36.0","2.0","226"
"","Tamil Nadu","11480","969","271.7","108.8","-1.0","341"
"","Pondy","338","0","7.0","7.0","0.0","34"
"ER","Bihar","2857","300","57.4","55.3","-2.4","150"
"","DVC","2784","0","62.5","-39.4","-0.1","200"
"","Jharkhand","960","0","22.3","12.1","-0.5","100"
"","Odisha","3658","0","72.9","25.4","-0.1","300"
"","West Bengal","7402","0","157.4","52.0","3.4","300"
"","Sikkim","81","0","1.1","1.4","-0.3","25"
"NER","Arunachal Pradesh","107","3","1.3","1.3","0.0","48"
"","Assam","1260","148","26.3","15.7","3.9","223"
"","Manipur","138","2","1.7","2.0","-0.3","45"
"","Meghalaya","278","2","4.5","3.2","-0.6","46"
"","Mizoram","74","1","1.2","1.0","0.2","24"
"","Nagaland","100","4","1.8","1.5","0.2","34"
"","Tripura","253","1","3.8","1.0","0.7","50"
