"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7629","0","161.2","100.0","0.8","164","0.0"
"","Haryana","7774","0","147.3","104.5","1.3","263","0.0"
"","Rajasthan","8856","0","192.8","59.3","-0.8","259","0.0"
"","Delhi","5079","0","105.1","83.3","-0.7","181","0.1"
"","UP","17279","820","373.0","170.2","0.0","326","0.0"
"","Uttarakhand","1840","0","38.3","10.4","-1.0","70","0.0"
"","HP","1051","0","25.0","0.7","1.4","256","0.1"
"","J&K","2103","526","41.6","14.2","3.6","430","9.9"
"","Chandigarh","261","0","5.3","5.7","-0.4","24","0.0"
"WR","Chhattisgarh","4002","0","92.9","31.1","2.1","397","1.6"
"","Gujarat","10875","0","249.7","45.6","-1.8","557","0.0"
"","MP","8061","0","176.1","104.6","-0.1","463","0.0"
"","Maharashtra","18542","0","405.9","130.9","0.6","376","0.0"
"","Goa","470","0","9.6","9.0","0.6","79","0.0"
"","DD","305","0","6.9","6.3","0.6","50","0.0"
"","DNH","725","0","16.9","16.9","0.0","37","0.0"
"","Essar steel","106","0","1.8","1.9","-0.1","135","0.0"
"SR","Andhra Pradesh","7055","0","149","44","0.7","749","0.0"
"","Telangana","8601","0","181","90","-1.2","453","0.0"
"","Karnataka","8266","0","176","69","2.6","625","0.0"
"","Kerala","3107","0","62","43","1.5","242","0.0"
"","Tamil Nadu","12870","0","276","138","1.5","622","0.0"
"","Pondy","353","0","7","7","-0.4","65","0.0"
"ER","Bihar","4348","0","84.6","77.5","0.3","365","0.3"
"","DVC","2785","0","62.4","-28.1","0.6","345","0.8"
"","Jharkhand","1307","0","25.9","18.2","1.0","172","0.0"
"","Odisha","4080","0","80.1","28.9","-1.0","413","0.6"
"","West Bengal","8476","0","160.0","60.0","3.1","465","0.0"
"","Sikkim","89","0","1.3","1.1","0.2","20","0.0"
"NER","Arunachal Pradesh","117","2","2.1","2.4","-0.3","11","0.0"
"","Assam","1697","47","31.0","23.2","2.8","124","1.0"
"","Manipur","145","3","2.2","2.3","-0.2","9","0.0"
"","Meghalaya","310","0","5.2","-1.3","-0.8","76","0.0"
"","Mizoram","75","1","1.4","1.3","0.0","30","0.0"
"","Nagaland","111","1","2.2","1.9","0.0","21","0.0"
"","Tripura","188","1","4.0","3.3","-0.1","46","0.1"
