"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10730","0","249.9","130.5","0.0","140","0.0"
"","Haryana","9294","300","202.0","126.9","1.0","222","0.5"
"","Rajasthan","9987","0","221.3","82.0","1.3","399","1.4"
"","Delhi","5993","16","121.5","95.9","-1.2","207","0.0"
"","UP","17719","2555","375.8","181.6","3.9","901","0.0"
"","Uttarakhand","1836","155","41.3","14.0","1.0","105","0.5"
"","HP","1340","0","28.5","-0.1","3.0","303","0.1"
"","J&K","2025","506","40.8","14.7","0.4","125","9.7"
"","Chandigarh","330","0","6.5","6.9","-0.4","14","0.0"
"WR","Chhattisgarh","3683","0","82.1","26.4","1.0","268","0.0"
"","Gujarat","13724","0","303.1","58.5","0.5","402","0.0"
"","MP","8273","0","183.2","104.1","3.3","752","0.0"
"","Maharashtra","20221","0","442.5","117.0","-0.3","485","0.0"
"","Goa","409","0","8.7","8.8","-0.1","41","0.0"
"","DD","326","0","7.4","6.2","1.2","35","0.0"
"","DNH","741","0","17.0","16.7","0.3","25","0.0"
"","Essar steel","230","0","3.2","1.2","2.0","145","0.0"
"SR","Andhra Pradesh","6688","0","154","37","1.8","598","0.0"
"","Telangana","8358","0","177","90","-3.4","853","0.0"
"","Karnataka","8274","0","175","83","1.8","531","0.0"
"","Kerala","3450","0","67","47","2.3","297","0.0"
"","Tamil Nadu","12531","0","273","84","-0.3","831","0.0"
"","Pondy","338","0","7","7","-0.3","32","0.0"
"ER","Bihar","3979","0","72.1","67.6","1.2","250","0.0"
"","DVC","2781","0","63.2","-27.7","-0.3","200","0.0"
"","Jharkhand","1238","0","22.4","15.8","-1.1","85","0.0"
"","Odisha","4107","0","79.6","26.1","-1.6","225","0.0"
"","West Bengal","8191","0","145.3","50.4","3.2","250","0.1"
"","Sikkim","97","0","1.1","2.0","-0.9","10","0.0"
"NER","Arunachal Pradesh","125","2","2.1","3.1","-1.0","6","0.1"
"","Assam","1568","165","30.8","22.4","3.5","212","1.5"
"","Manipur","139","2","2.2","2.2","0.0","31","0.0"
"","Meghalaya","264","0","4.5","-1.7","-0.3","27","0.0"
"","Mizoram","73","0","1.2","1.2","-0.1","9","0.0"
"","Nagaland","115","0","2.3","2.0","0.2","26","0.0"
"","Tripura","246","2","4.4","2.8","0.9","44","0.0"
