"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10718","0","237.4","138.9","0.2","160","0.0"
"","Haryana","8430","0","181.2","145.9","-0.3","201","0.0"
"","Rajasthan","9847","0","216.8","49.4","1.0","347","0.0"
"","Delhi","5253","0","107.6","87.1","-2.2","46","0.0"
"","UP","15751","0","322.6","158.9","-0.4","590","0.0"
"","Uttarakhand","1708","0","36.6","18.1","0.0","167","0.0"
"","HP","1416","0","21.1","0.9","2.4","375","0.0"
"","J&K","2176","544","41.9","18.6","-1.6","207","9.9"
"","Chandigarh","263","0","5.4","6.1","-0.7","24","0.0"
"WR","Chhattisgarh","3822","0","87.1","35.5","-0.8","284","0.0"
"","Gujarat","13560","0","300.8","70.2","4.4","537","0.0"
"","MP","7315","0","162.6","73.1","-1.7","329","0.0"
"","Maharashtra","18030","0","398.2","118.3","-3.7","509","0.0"
"","Goa","441","0","9.8","8.9","0.3","36","0.0"
"","DD","336","0","6.2","6.7","-0.5","55","0.0"
"","DNH","793","0","18.4","17.5","0.9","80","0.0"
"","Essar steel","566","0","11.4","11.5","-0.1","344","0.0"
"SR","Andhra Pradesh","7939","0","179.8","21.3","0.9","518","0.0"
"","Telangana","9210","0","198.5","80.5","1.0","388","0.0"
"","Karnataka","8619","0","182.8","39.6","0.8","552","0.0"
"","Kerala","2792","0","55.8","21.2","1.3","378","0.0"
"","Tamil Nadu","14681","0","316.2","109.0","0.5","501","0.0"
"","Pondy","356","0","7.7","7.5","0.1","66","0.0"
"ER","Bihar","4709","0","85.8","86.9","-1.1","250","0.0"
"","DVC","2555","0","55.6","-20.4","8.0","690","1.0"
"","Jharkhand","955","0","22.4","17.2","-0.5","0","0.0"
"","Odisha","5430","0","109.6","50.6","0.9","250","0.0"
"","West Bengal","8768","0","175.6","63.1","2.2","200","0.0"
"","Sikkim","92","0","1.0","1.3","-0.2","10","0.0"
"NER","Arunachal Pradesh","114","15","2.3","2.8","-0.5","11","0.0"
"","Assam","1743","78","33.5","27.7","1.4","236","1.4"
"","Manipur","170","3","2.2","2.6","-0.4","39","0.0"
"","Meghalaya","285","0","5.5","0.2","0.1","29","0.0"
"","Mizoram","79","2","1.5","1.0","0.1","21","0.0"
"","Nagaland","105","6","2.3","1.9","0.0","22","0.0"
"","Tripura","259","4","4.4","3.9","0.0","38","0.1"
