"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8517","400","195.2","125.8","-0.3","104"
"","Haryana","8091","0","177.8","111.4","-0.7","357"
"","Rajasthan","6775","0","149.7","62.5","-2.2","104"
"","Delhi","5197","2","108.2","85.0","-4.9","85"
"","UP","10369","1500","230.5","119.1","-1.4","156"
"","Uttarakhand","1618","75","33.2","21.5","0.9","162"
"","HP","1169","0","25.1","1.9","-0.3","64"
"","J&K","1353","100","31.0","17.4","-0.2","132"
"","Chandigarh","309","0","6.2","6.2","-0.1","18"
"WR","Chhattisgarh","2726","197","61.8","26.4","5.2","364"
"","Gujarat","8507","2","199.6","31.4","-4.0","405"
"","MP","5211","18","102.7","40.1","-3.6","366"
"","Maharashtra","14105","120","311.5","96.5","-1.7","448"
"","Goa","349","29","7.8","6.2","1.2","40"
"","DD","263","1","6.2","5.6","0.6","41"
"","DNH","607","2","14.1","14.2","-0.1","65"
"","Essar steel","422","4","9.1","9.6","-0.5","0.0"
"SR","Andhra Pradesh","9878","1500","226.9","84.8","3.8","409"
"","Karnataka","7250","550","145.0","10.9","-0.4","221"
"","Kerala","2792","0","49.8","27.8","1.6","217"
"","Tamil Nadu","11660","554","262.0","76.4","-0.4","278"
"","Pondy","324","0","6.2","6.8","-0.7","33"
"ER","Bihar","2024","450","42.6","43.4","-0.8","100"
"","DVC","2503","0","56.9","-15.1","-0.5","240"
"","Jharkhand","970","0","19.9","14.7","-1.4","220"
"","Odisha","3298","200","69.3","15.7","1.0","400"
"","West Bengal","6827","11","118.4","38.4","1.2","340"
"","Sikkim","100","0","1.0","1.3","-0.2","8"
"NER","Arunachal Pradesh","104","1","1.3","1.5","-0.2","25"
"","Assam","1104","155","21.3","13.5","2.3","218"
"","Manipur","106","2","1.7","2.1","-0.4","21"
"","Meghalaya","252","2","4.9","-0.4","0.3","53"
"","Mizoram","52","5","1.0","1.2","-0.2","4"
"","Nagaland","94","3","1.5","1.1","0.0","25"
"","Tripura","190","25","3.7","1.5","0.0","44"
