"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","11152","0","253.8","137.2","1.0","285","0.0"
"","Haryana","8739","0","190.9","135.2","2.0","288","0.4"
"","Rajasthan","7694","380","168.0","72.2","3.5","444","2.3"
"","Delhi","5429","0","107.3","84.6","-0.2","173","0.1"
"","UP","16444","440","337.3","153.7","-0.6","390","0.0"
"","Uttarakhand","1807","70","39.9","17.3","2.6","299","0.8"
"","HP","1303","0","26.8","-3.4","4.0","345","0.0"
"","J&K","2011","503","37.1","12.4","-1.2","229","8.9"
"","Chandigarh","325","0","6.3","6.9","-0.6","2","0.0"
"WR","Chhattisgarh","3375","0","80.8","17.7","-0.8","90","0.0"
"","Gujarat","10039","0","223.7","53.2","-2.0","871","0.0"
"","MP","6505","0","142.9","83.5","0.3","376","0.0"
"","Maharashtra","18066","0","389.7","116.4","2.7","622","0.0"
"","Goa","380","0","8.1","8.4","-0.3","119","0.0"
"","DD","317","0","7.1","6.4","0.7","63","0.0"
"","DNH","735","0","16.9","16.5","0.4","43","0.0"
"","Essar steel","458","0","9.2","8.6","0.5","196","0.0"
"SR","Andhra Pradesh","7652","0","167","39","2.2","631","0.0"
"","Telangana","9043","0","185","121","-6.1","659","0.0"
"","Karnataka","8595","0","190","62","2.4","473","0.0"
"","Kerala","3306","0","67","42","1.6","257","0.0"
"","Tamil Nadu","14819","0","331","120","9.6","504","0.0"
"","Pondy","340","0","8","7","0.2","51","0.0"
"ER","Bihar","3746","200","56.9","56.4","-3.1","315","1.5"
"","DVC","2677","0","55.2","-29.6","0.2","354","0.0"
"","Jharkhand","904","0","21.1","13.5","1.3","135","0.0"
"","Odisha","4062","0","74.5","24.5","-2.4","295","0.0"
"","West Bengal","7322","0","131.2","36.6","-0.7","305","0.0"
"","Sikkim","54","0","0.4","1.1","-0.7","20","0.0"
"NER","Arunachal Pradesh","110","2","2.0","2.7","-0.7","8","0.0"
"","Assam","1632","24","30.2","22.8","3.0","162","0.7"
"","Manipur","153","2","2.1","2.1","0.0","22","0.0"
"","Meghalaya","269","0","4.5","-1.2","-0.1","42","0.0"
"","Mizoram","75","3","1.3","1.1","0.1","14","0.0"
"","Nagaland","116","2","2.2","2.1","-0.1","24","0.0"
"","Tripura","195","32","3.8","2.5","-0.1","40","0.2"
