"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7588","0","133.0","106.2","-8.7","112"
"","Haryana","6664","0","126.6","90.1","-6.0","467"
"","Rajasthan","6500","0","144.9","66.8","-3.2","95"
"","Delhi","4698","29","97.8","75.9","-2.5","178"
"","UP","11335","1340","241.7","113.8","-6.1","391"
"","Uttarakhand","1590","0","33.0","14.2","0.0","160"
"","HP","1142","0","23.7","3.9","-2.1","17"
"","J&K","1264","100","25.7","15.9","-3.6","74"
"","Chandigarh","243","0","5.1","5.9","-0.8","9"
"WR","Chhattisgarh","2282","6","53.3","11.6","-1.8","231"
"","Gujarat","10304","47","227.0","54.8","4.5","809"
"","MP","5724","4","111.8","58.0","-1.4","534"
"","Maharashtra","14866","70","272.9","84.9","5.2","977"
"","Goa","358","0","7.5","6.5","0.6","17"
"","DD","251","0","5.8","5.6","0.1","62"
"","DNH","600","0","13.8","13.9","-0.2","120"
"SR","Andhra Pradesh","9659","1500","209.8","71.4","1.2","276"
"","Karnataka","6691","450","135.7","27.4","0.2","217"
"","Kerala","2304","400","47.4","31.7","1.8","213"
"","Tamil Nadu","10795","583","241.7","56.4","-0.5","605"
"","Pondy","310","0","6.6","6.9","-0.3","23"
"ER","Bihar","1847","75","40.8","40.0","0.8","195"
"","DVC","2530","0","55.3","-19.2","-0.6","350"
"","Jharkhand","895","0","18.5","12.7","-2.0","165"
"","Odisha","3331","0","65.1","14.8","3.0","495"
"","West Bengal","6428","18","119.8","32.9","0.7","385"
"","Sikkim","89","0","1.2","1.1","0.1","25"
"NER","Arunachal Pradesh","96","4","1.2","1.1","0.1","47"
"","Assam","1001","256","21.2","14.7","1.6","222"
"","Manipur","101","9","1.2","1.6","-0.3","36"
"","Meghalaya","245","13","4.5","0.3","0.2","40"
"","Mizoram","48","8","1.0","0.9","0.1","6"
"","Nagaland","88","2","1.5","1.2","0.0","33"
"","Tripura","165","61","2.7","1.2","0.0","59"
