"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5183","0","100.0","46.9","-1.9","7","0.0"
"","Haryana","5828","0","115.0","103.4","-0.3","113","0.0"
"","Rajasthan","10958","0","211.8","64.2","-0.9","588","0.0"
"","Delhi","3272","0","62.6","51.7","-0.7","158","0.0"
"","UP","14534","0","268.3","116.8","0.3","773","0.4"
"","Uttarakhand","1757","0","34.1","19.1","0.7","101","0.0"
"","HP","1420","0","27.4","19.6","-0.4","72","0.0"
"","J&K","2222","556","43.5","36.1","-0.1","201","10.3"
"","Chandigarh","193","0","3.4","3.3","0.1","18","0.0"
"WR","Chhattisgarh","3469","0","70.7","28.1","0.7","425","0.0"
"","Gujarat","14913","0","318.5","84.1","2.5","415","0.0"
"","MP","11926","0","235.2","149.1","-2.0","419","0.0"
"","Maharashtra","20141","0","429.8","136.1","-1.8","371","0.0"
"","Goa","541","0","12.0","12.3","-0.9","63","0.0"
"","DD","328","0","7.2","6.6","0.5","64","0.0"
"","DNH","770","0","18.0","18.1","-0.1","35","0.0"
"","Essar steel","296","0","5.5","5.4","0.0","295","0.0"
"SR","Andhra Pradesh","8230","0","173.8","80.7","1.3","633","0.1"
"","Telangana","8834","0","190.6","82.0","-0.1","429","0.1"
"","Karnataka","9574","0","183.5","47.8","-1.5","596","0.1"
"","Kerala","3505","0","72.6","55.8","0.9","171","0.0"
"","Tamil Nadu","13950","0","291.4","176.7","3.2","544","0.1"
"","Pondy","370","0","7.4","7.8","-0.4","18","0.0"
"ER","Bihar","3977","0","67.8","63.3","-1.9","50","0.0"
"","DVC","3254","0","62.9","-41.2","-1.4","300","0.0"
"","Jharkhand","1144","0","23.9","16.3","-0.4","31","0.0"
"","Odisha","3859","0","73.6","9.9","-0.1","250","0.0"
"","West Bengal","6207","0","111.2","32.6","0.6","300","0.0"
"","Sikkim","100","0","1.5","1.6","-0.1","20","0.0"
"NER","Arunachal Pradesh","110","2","2.1","1.8","0.1","65","0.0"
"","Assam","1422","28","23.6","18.7","0.0","136","0.4"
"","Manipur","168","3","2.6","2.5","0.1","29","0.0"
"","Meghalaya","337","0","5.9","3.0","0.2","40","0.0"
"","Mizoram","96","2","1.8","0.4","0.3","16","0.0"
"","Nagaland","113","1","2.1","2.0","-0.2","26","0.0"
"","Tripura","225","0","3.5","2.8","-0.6","34","0.0"
