"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9177","0","196.4","114.6","0.0","123"
"","Haryana","8170","14","161.2","134.1","-2.3","219"
"","Rajasthan","7403","0","167.2","70.8","0.5","300"
"","Delhi","4987","0","98.5","80.8","-0.8","215"
"","UP","13441","0","290.1","149.0","0.5","326"
"","Uttarakhand","1737","0","38.5","15.5","3.4","421"
"","HP","1125","0","23.6","-0.6","-0.7","107"
"","J&K","1816","454","34.5","15.6","-3.1","167"
"","Chandigarh","275","0","5.3","5.6","-0.3","26"
"WR","Chhattisgarh","3435","0","81.6","40.4","2.5","764"
"","Gujarat","12402","9","278.3","78.0","-2.7","411"
"","MP","5440","0","106.4","28.6","-2.0","228"
"","Maharashtra","17920","3","389.9","124.5","3.8","406"
"","Goa","427","0","8.3","7.2","0.6","115"
"","DD","298","0","6.8","6.7","0.1","5"
"","DNH","734","0","16.8","17.1","-0.3","22"
"","Essar steel","590","0","11.9","10.9","1.0","234"
"SR","Andhra Pradesh","7767","0","174.6","13.3","3.9","626"
"","Telangana","7591","0","170.4","110.8","0.8","247"
"","Karnataka","8432","500","183.6","60.1","6.2","529"
"","Kerala","3228","0","60.8","45.6","0.7","156"
"","Tamil Nadu","13124","0","300.6","108.7","1.3","604"
"","Pondy","329","0","6.9","7.0","-0.1","44"
"ER","Bihar","3396","150","70.5","64.5","3.7","250"
"","DVC","2826","0","59.0","-15.7","-0.3","300"
"","Jharkhand","1053","0","20.8","15.9","0.3","230"
"","Odisha","3843","0","76.6","22.4","0.2","150"
"","West Bengal","7398","0","140.5","41.7","4.5","450"
"","Sikkim","64","0","1.1","1.1","0.0","35"
"NER","Arunachal Pradesh","99","2","2.0","1.8","0.1","5"
"","Assam","1513","0","30.8","23.2","2.8","260"
"","Manipur","118","2","2.1","2.0","0.1","22"
"","Meghalaya","231","0","4.4","0.3","0.0","15"
"","Mizoram","64","1","1.2","1.0","0.1","27"
"","Nagaland","107","2","1.8","1.6","0.1","12"
"","Tripura","210","1","3.1","3.3","-0.2","20"
