"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6803","0","148.7","69.8","-1.3","70","0.0"
"","Haryana","6332","242","140.7","78.0","2.8","706","0.7"
"","Rajasthan","9855","0","210.9","71.6","1.7","522","0.0"
"","Delhi","4747","0","98.7","84.8","-1.5","108","0.0"
"","UP","15873","310","345.7","148.1","4.1","1412","2.3"
"","Uttarakhand","1907","0","37.7","16.8","1.6","197","2.0"
"","HP","1265","0","24.9","10.3","3.0","570","0.1"
"","J&K","2149","537","42.1","23.4","2.0","514","9.9"
"","Chandigarh","233","0","4.8","4.5","0.2","25","0.0"
"WR","Chhattisgarh","3749","0","86.2","15.7","0.0","258","0.4"
"","Gujarat","15969","0","352.7","180.1","4.1","328","0.0"
"","MP","8709","0","191.8","93.1","-1.6","296","0.0"
"","Maharashtra","23093","0","508.1","147.1","2.5","833","0.0"
"","Goa","533","0","11.5","10.5","0.4","61","0.0"
"","DD","330","0","7.5","6.8","0.7","92","0.0"
"","DNH","742","0","17.4","17.3","0.1","52","0.0"
"","Essar steel","246","0","4.2","4.4","-0.3","131","0.0"
"SR","Andhra Pradesh","7590","0","159.7","53.1","-0.9","312","0.0"
"","Telangana","6667","0","140.6","36.5","-1.5","281","0.0"
"","Karnataka","9563","0","203.0","78.7","-2.7","314","0.0"
"","Kerala","3334","0","74.2","50.6","1.0","251","0.0"
"","Tamil Nadu","14264","0","320.3","154.0","0.5","499","0.0"
"","Pondy","373","20","8.2","8.2","0.1","35","0.0"
"ER","Bihar","4612","0","81.9","81.2","-0.5","220","0.0"
"","DVC","2845","0","69.6","-50.1","-0.1","258","0.0"
"","Jharkhand","1045","0","22.1","17.9","-0.5","170","0.0"
"","Odisha","4480","0","95.5","38.2","2.1","260","0.0"
"","West Bengal","7872","0","160.8","38.7","4.5","402","0.0"
"","Sikkim","79","0","1.4","1.7","-0.2","60","0.0"
"NER","Arunachal Pradesh","118","9","2.1","2.4","-0.2","35","0.1"
"","Assam","1423","116","22.1","18.6","0.7","138","1.1"
"","Manipur","146","3","2.3","2.5","-0.3","6","0.0"
"","Meghalaya","305","1","5.1","2.7","0.0","20","0.0"
"","Mizoram","86","3","1.7","1.5","-0.2","2","0.0"
"","Nagaland","104","2","2.1","2.0","-0.1","13","0.0"
"","Tripura","202","9","3.8","3.2","-0.2","0","0.1"
