"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5493","0","114.4","26.4","-0.7","100","0.0"
"","Haryana","5907","0","118.5","44.2","5.6","455","0.0"
"","Rajasthan","8918","0","175.6","51.9","-0.1","301","0.0"
"","Delhi","3045","0","62.9","51.2","-1.5","179","0.0"
"","UP","14152","255","292.3","112.2","1.5","578","2.4"
"","Uttarakhand","1737","0","33.1","25.9","0.0","90","0.0"
"","HP","1349","0","24.3","19.0","0.0","90","0.0"
"","J&K","2137","534","43.8","40.0","-1.4","168","10.3"
"","Chandigarh","150","0","2.8","2.9","0.0","35","0.0"
"WR","Chhattisgarh","3589","0","84.9","16.2","-1.4","40","0.0"
"","Gujarat","14233","0","315.7","157.5","1.8","468","0.0"
"","MP","8646","0","173.4","80.7","-2.3","536","0.0"
"","Maharashtra","20215","0","451.0","135.8","-0.8","386","0.0"
"","Goa","425","0","9.2","8.8","-0.2","32","0.0"
"","DD","296","0","6.9","6.8","0.1","43","0.0"
"","DNH","749","0","17.4","16.7","0.7","60","0.0"
"","Essar steel","556","0","11.2","10.7","0.5","170","0.0"
"SR","Andhra Pradesh","8472","0","182.6","47.5","-0.6","830","0.0"
"","Telangana","9670","0","219.6","109.4","-0.2","410","0.0"
"","Karnataka","9988","0","218.8","80.5","-0.7","476","0.0"
"","Kerala","3674","0","71.4","52.6","2.0","249","0.0"
"","Tamil Nadu","13423","0","308.7","160.3","-1.7","391","0.0"
"","Pondy","315","0","7.1","7.6","-0.5","23","0.0"
"ER","Bihar","4345","0","81.2","70.4","1.4","385","0.0"
"","DVC","2949","0","65.5","-57.8","-0.4","280","0.0"
"","Jharkhand","1140","0","20.6","11.4","0.3","160","0.0"
"","Odisha","4147","0","84.5","32.8","1.7","335","0.0"
"","West Bengal","7367","0","154.0","38.5","0.7","91","0.0"
"","Sikkim","81","0","1.1","1.1","0.0","16","0.0"
"NER","Arunachal Pradesh","103","6","2.3","1.9","0.4","43","0.0"
"","Assam","1369","33","21.7","17.9","0.9","128","0.7"
"","Manipur","174","3","2.2","2.4","-0.2","19","0.0"
"","Meghalaya","279","1","5.1","4.2","-0.4","49","0.0"
"","Mizoram","88","5","1.4","1.3","0.0","19","0.1"
"","Nagaland","130","4","2.0","1.9","0.0","39","0.0"
"","Tripura","258","0","4.0","5.2","0.5","75","0.0"
