"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7079","0","155.5","86.5","0.5","145"
"","Haryana","5583","0","120.0","65.8","0.2","492"
"","Rajasthan","6561","0","134.9","74.2","-7.6","0"
"","Delhi","3570","0","73.1","57.5","-1.2","114"
"","UP","10568","2230","224.8","111.4","-3.1","224"
"","Uttarakhand","1424","0","28.7","14.5","-1.9","54"
"","HP","1028","0","20.8","3.9","1.1","252"
"","J&K","1582","100","30.6","16.5","0.6","140"
"","Chandigarh","220","0","4.3","4.5","-0.2","11"
"WR","Chhattisgarh","2562","22","57.0","10.3","-1.9","265"
"","Gujarat","9385","20","199.6","39.6","1.0","392"
"","MP","5965","0","125.5","64.1","-3.5","172"
"","Maharashtra","15061","338","333.6","105.0","2.0","540"
"","Goa","365","0","6.8","6.8","-0.4","21"
"","DD","216","0","5.3","5.8","-0.4","11"
"","DNH","589","0","14.1","14.3","-0.2","23"
"","Essar steel","280","0","6.0","6.4","-0.2","51"
"SR","Andhra Pradesh","11434","0","251.4","95.9","0.2","283"
"","Karnataka","6975","300","147.8","15.8","-1.0","242"
"","Kerala","3027","150","55.1","13.0","0.7","279"
"","Tamil Nadu","10958","530","252.1","72.1","0.5","272"
"","Pondy","268","0","5.8","5.9","-0.1","32"
"ER","Bihar","2134","100","42.7","44.5","-1.8","100"
"","DVC","2439","200","52.5","-25.1","1.5","400"
"","Jharkhand","957","0","17.1","14.8","-1.8","100"
"","Odisha","3605","0","69.3","19.5","1.8","300"
"","West Bengal","6393","8","119.7","25.8","10.7","600"
"","Sikkim","77","0","1.3","1.2","0.1","25"
"NER","Arunachal Pradesh","99","1","1.3","1.2","0.1","42"
"","Assam","1150","142","22.4","12.9","3.7","283"
"","Manipur","108","2","1.5","1.9","-0.3","27"
"","Meghalaya","244","5","4.4","1.7","0.1","54"
"","Mizoram","56","4","1.0","1.0","-0.2","11"
"","Nagaland","96","4","1.5","1.2","0.1","22"
"","Tripura","208","7","2.8","1.0","0.4","65"
