"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4588","0","94.4","52.3","0.8","176"
"","Haryana","6282","12","111.1","65.7","-0.1","172"
"","Rajasthan","9979","0","204.1","71.6","1.3","351"
"","Delhi","3463","0","64.3","49.5","0.8","247"
"","UP","10405","1720","214.9","108.5","-1.1","265"
"","Uttarakhand","1700","0","33.3","21.5","3.3","221"
"","HP","1335","0","24.4","17.4","0.5","110"
"","J&K","1885","471","39.5","30.1","0.1","132"
"","Chandigarh","188","0","3.5","3.6","0.3","9"
"WR","Chhattisgarh","3126","96","70.9","22.1","-1.4","69"
"","Gujarat","13677","0","298.2","61.1","-2.5","266"
"","MP","9314","0","206.5","139.5","-2.1","228"
"","Maharashtra","19216","509","431.0","135.9","-4.0","520"
"","Goa","389","0","8.6","7.5","0.7","58"
"","DD","304","0","6.7","6.8","-0.1","32"
"","DNH","706","0","16.4","16.9","-0.5","-6"
"","Essar steel","337","0","6.6","5.9","0.7","224"
"SR","Andhra Pradesh","6755","0","148.2","30.8","1.5","401"
"","Telangana","6281","0","142.5","81.3","0.2","100"
"","Karnataka","7410","1000","159.8","43.5","1.6","422"
"","Kerala","3113","0","60.4","44.0","2.2","298"
"","Tamil Nadu","12212","0","254.9","126.9","3.0","482"
"","Pondy","308","0","6.3","6.4","-0.1","27"
"ER","Bihar","3369","250","61.6","61.3","0.3","240"
"","DVC","2536","0","58.0","-9.4","0.6","200"
"","Jharkhand","993","0","22.4","11.6","-1.1","0"
"","Odisha","3899","0","73.1","19.1","1.3","210"
"","West Bengal","6880","0","134.9","40.3","1.4","150"
"","Sikkim","99","0","1.5","1.1","0.4","30"
"NER","Arunachal Pradesh","110","6","2.0","1.8","0.2","32"
"","Assam","1284","67","22.7","14.9","2.4","192"
"","Manipur","146","2","2.4","2.2","0.2","42"
"","Meghalaya","299","6","5.0","4.4","-0.5","56"
"","Mizoram","84","1","1.3","1.3","0.0","12"
"","Nagaland","111","8","1.9","1.6","0.2","51"
"","Tripura","222","1","4.2","0.9","0.8","49"
