"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8196","0","177.2","98.1","-0.3","124","0.0"
"","Haryana","6927","60","131.3","102.8","3.1","330","0.1"
"","Rajasthan","9355","115","201.6","82.3","3.0","372","0.5"
"","Delhi","4447","0","89.9","77.1","-0.4","84","0.0"
"","UP","16052","0","330.6","149.2","-0.1","239","0.0"
"","Uttarakhand","1786","0","35.3","13.6","-0.1","230","0.0"
"","HP","1315","0","24.1","2.1","-2.2","132","0.0"
"","J&K","2089","522","41.6","21.4","2.2","337","9.9"
"","Chandigarh","236","0","4.5","5.4","-0.8","34","0.0"
"WR","Chhattisgarh","3827","0","88.5","29.8","1.3","258","0.0"
"","Gujarat","15180","0","335.9","71.3","-0.5","344","0.0"
"","MP","7820","0","169.7","93.7","4.2","498","0.0"
"","Maharashtra","18575","0","399.3","122.1","0.2","490","0.0"
"","Goa","405","0","8.8","8.5","0.0","57","0.0"
"","DD","332","0","7.4","6.3","1.0","73","0.0"
"","DNH","756","0","17.3","16.5","0.8","97","0.0"
"","Essar steel","474","0","9.5","9.1","0.3","212","0.0"
"SR","Andhra Pradesh","7179","0","155.0","56.5","1.6","429","0.0"
"","Telangana","9109","0","186.1","81.9","-0.7","335","0.0"
"","Karnataka","7539","0","148.9","56.2","2.0","415","0.0"
"","Kerala","3535","0","67.5","42.2","1.7","330","0.0"
"","Tamil Nadu","13148","0","271.5","125.2","-0.7","562","0.0"
"","Pondy","342","0","7.0","7.3","-0.2","54","0.0"
"ER","Bihar","4380","0","96.9","84.9","5.7","380","0.0"
"","DVC","2726","0","61.4","-23.7","-3.6","40","0.0"
"","Jharkhand","1163","0","26.2","17.3","2.4","180","0.0"
"","Odisha","4417","0","88.1","40.7","1.4","250","0.0"
"","West Bengal","8402","0","158.3","50.5","0.4","400","0.0"
"","Sikkim","85","0","1.1","1.3","-0.3","12","0.0"
"NER","Arunachal Pradesh","105","2","2.4","2.5","-0.1","3","0.0"
"","Assam","1721","55","30.8","23.4","2.4","164","1.3"
"","Manipur","137","2","2.2","2.2","0.0","38","0.0"
"","Meghalaya","264","0","5.4","-0.5","0.5","69","0.0"
"","Mizoram","76","1","1.3","1.3","0.0","12","0.0"
"","Nagaland","115","1","2.1","2.0","-0.1","25","0.0"
"","Tripura","275","0","4.6","4.3","-0.1","85","0.0"
