"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7173","0","157.9","89.9","-0.5","143"
"","Haryana","7292","0","152.4","114.5","1.1","347"
"","Rajasthan","9837","0","213.5","59.4","0.5","277"
"","Delhi","5666","0","118.1","98.1","-3.3","115"
"","UP","15057","0","318.8","143.0","-0.7","488"
"","Uttarakhand","1771","40","38.9","22.1","0.6","126"
"","HP","1178","0","25.2","5.6","1.5","244"
"","J&K","1873","468","34.5","16.5","-3.9","105"
"","Chandigarh","253","0","5.3","5.4","0.3","25"
"WR","Chhattisgarh","3206","0","79","26","2","824"
"","Gujarat","14877","0","329","67","-1","346"
"","MP","7196","0","163","101","-3","125"
"","Maharashtra","18997","0","421","143","3","531"
"","Goa","409","30","9","8","0","126"
"","DD","315","0","7","7","0","51"
"","DNH","772","0","17","18","0","8"
"","Essar steel","437","0","9","9","0","137"
"SR","Andhra Pradesh","6118","0","129","0.5","0.3","682"
"","Telangana","5664","0","121","68.2","0.7","375"
"","Karnataka","6917","0","145","51.6","2.9","605"
"","Kerala","3198","0","61","47.9","2.0","200"
"","Tamil Nadu","13058","0","283","131.0","-2.4","776"
"","Pondy","348","0","7","7.4","0.0","33"
"ER","Bihar","3389","100","69","67.3","-1.9","100"
"","DVC","2673","0","62","-33.7","0.4","200"
"","Jharkhand","954","0","20","15.9","-1.7","20"
"","Odisha","3270","0","73","30.3","1.0","210"
"","West Bengal","8001","0","161","41.9","1.2","400"
"","Sikkim","90","0","2","1.2","0.3","30"
"NER","Arunachal Pradesh","111","1","2","1.7","0.1","58"
"","Assam","1454","77","29","20.3","4.3","305"
"","Manipur","123","1","2","2.0","-0.1","23"
"","Meghalaya","330","0","4","0.7","0.4","132"
"","Mizoram","75","0","1","1.1","-0.1","18"
"","Nagaland","119","0","2","1.8","-0.2","19"
"","Tripura","241","0","4","3.3","0.2","52"
