"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5061","0","99.2","41.4","-1.1","96","0.0"
"","Haryana","5797","0","107.6","80.9","0.6","155","0.0"
"","Rajasthan","11789","0","225.1","61.0","-0.9","246","0.0"
"","Delhi","3943","0","62.0","58.4","-1.6","215","0.0"
"","UP","11933","580","247.7","114.4","0.9","295","0.4"
"","Uttarakhand","1890","0","33.6","19.7","-1.2","119","0.0"
"","HP","1585","0","27.7","21.2","-0.8","91","0.0"
"","J&K","2386","596","48.5","43.2","-1.2","411","11.4"
"","Chandigarh","208","0","3.1","3.5","-0.4","2","0.0"
"WR","Chhattisgarh","3972","0","89.5","34.5","-1.8","254","0.0"
"","Gujarat","14695","0","317.1","100.6","2.1","724","0.0"
"","MP","11515","0","210.6","88.4","-0.1","688","0.0"
"","Maharashtra","20878","0","435.0","134.4","1.4","435","0.0"
"","Goa","421","0","11.1","9.3","1.2","42","0.0"
"","DD","287","0","5.8","5.7","0.1","29","0.0"
"","DNH","761","0","17.9","18.0","-0.1","58","0.0"
"","Essar steel","237","0","3.9","3.2","0.6","259","0.0"
"SR","Andhra Pradesh","8640","0","190.0","70.8","0.7","625","0.0"
"","Telangana","10505","0","220.9","106.2","0.5","613","0.0"
"","Karnataka","12381","0","237.1","86.5","-1.4","506","0.0"
"","Kerala","3722","0","76.4","62.2","0.6","197","0.0"
"","Tamil Nadu","15424","0","334.5","188.7","-1.1","504","0.0"
"","Pondy","381","0","8.0","8.2","-0.1","47","0.0"
"ER","Bihar","3874","0","67.6","62.5","2.6","460","0.0"
"","DVC","3001","0","63.5","-47.0","-0.9","396","0.0"
"","Jharkhand","1005","0","22.8","16.9","-0.3","169","0.0"
"","Odisha","4345","0","88.8","31.1","1.6","267","0.0"
"","West Bengal","6596","0","119.2","27.3","2.1","309","0.0"
"","Sikkim","100","0","1.6","1.7","-0.1","18","0.0"
"NER","Arunachal Pradesh","129","2","2.2","2.3","-0.1","58","0.0"
"","Assam","1344","73","23.6","18.3","1.3","128","0.6"
"","Manipur","195","3","2.5","2.6","-0.1","53","0.0"
"","Meghalaya","367","0","6.5","5.1","0.1","36","0.0"
"","Mizoram","101","1","1.6","1.5","-0.1","12","0.0"
"","Nagaland","131","2","2.1","1.9","0.1","27","0.0"
"","Tripura","216","1","3.4","1.2","0.1","44","0.0"
