"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5804","0","113.4","59.5","-1.1","41","0.0"
"","Haryana","6061","0","125.5","91.5","-0.4","252","0.0"
"","Rajasthan","9892","0","203.1","67.2","0.6","285","0.0"
"","Delhi","3889","0","78.4","62.7","-1.3","101","0.0"
"","UP","15350","0","296.7","128.1","4.1","1614","4.0"
"","Uttarakhand","1725","0","35.1","19.0","0.8","225","0.0"
"","HP","1483","0","26.6","14.6","0.3","228","0.6"
"","J&K","2082","521","41.8","33.9","-1.0","195","9.9"
"","Chandigarh","201","0","3.7","3.6","0.1","26","0.0"
"WR","Chhattisgarh","3511","0","74.1","23.6","-0.7","212","0.0"
"","Gujarat","16037","0","351.2","88.1","2.7","467","0.0"
"","MP","7926","0","171.0","115.3","-2.1","209","0.0"
"","Maharashtra","16909","0","357.7","109.3","-3.8","764","0.0"
"","Goa","541","0","10.8","11.0","-0.8","51","0.0"
"","DD","337","0","7.4","6.9","0.5","39","0.0"
"","DNH","793","0","18.2","18.2","0.0","64","0.0"
"","Essar steel","333","0","6.0","5.7","0.3","266","0.0"
"SR","Andhra Pradesh","7205","0","152.5","59.7","-0.2","441","0.0"
"","Telangana","6882","0","143.2","43.5","-0.7","587","0.0"
"","Karnataka","7487","0","146.0","34.3","-0.7","582","0.0"
"","Kerala","3229","0","63.3","46.4","0.9","181","0.0"
"","Tamil Nadu","12575","0","253.7","138.5","-4.2","730","0.0"
"","Pondy","350","0","7.0","7.6","-0.6","59","0.0"
"ER","Bihar","4757","0","84.4","84.0","-1.9","230","0.0"
"","DVC","3018","0","62.4","-20.0","0.1","252","0.0"
"","Jharkhand","1184","0","22.4","18.4","-1.5","30","0.0"
"","Odisha","4475","0","83.8","12.6","7.6","541","0.0"
"","West Bengal","8307","0","158.2","55.3","1.0","350","0.0"
"","Sikkim","100","0","0.9","1.5","-0.6","20","0.0"
"NER","Arunachal Pradesh","116","2","2.0","1.8","-0.1","22","0.0"
"","Assam","1527","154","26.2","22.3","-0.8","88","1.4"
"","Manipur","154","3","2.4","2.3","0.1","34","0.0"
"","Meghalaya","316","0","5.6","2.6","0.1","42","0.0"
"","Mizoram","89","1","1.7","0.5","0.1","11","0.0"
"","Nagaland","122","2","2.1","2.1","-0.3","28","0.0"
"","Tripura","286","0","5.0","3.8","0.2","67","0.0"
