"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5108","0","97.3","40.2","0.6","183"
"","Haryana","5544","135","103.5","68.7","0.6","265"
"","Rajasthan","9785","92","196.3","88.1","-1.5","100"
"","Delhi","3561","29","62.6","42.3","-2.9","262"
"","UP","9941","3335","223.7","90.1","-2.1","261"
"","Uttarakhand","1804","75","33.9","22.8","2.0","265"
"","HP","1295","0","24.2","18.6","0.5","93"
"","J&K","1824","100","38.8","34.0","-1.2","68"
"","Chandigarh","214","0","3.6","3.4","0.2","34"
"WR","Chhattisgarh","3056","23","67.1","13.9","1.5","407"
"","Gujarat","10790","4","238.8","50.2","-0.2","683"
"","MP","8511","0","168.9","85.5","0.7","515"
"","Maharashtra","17980","188","371.2","110.9","5.1","888"
"","Goa","408","0","8.2","7.4","0.2","65"
"","DD","226","0","5.7","5.3","0.3","34"
"","DNH","619","0","14.5","14.2","0.3","47"
"","Essar steel","416","0","9.0","9.1","-0.4","17"
"SR","Andhra Pradesh","12123","1000","267.2","90.3","5.9","417"
"","Karnataka","8742","500","192.8","14.0","2.1","300"
"","Kerala","3425","125","63.5","26.5","2.8","248"
"","Tamil Nadu","11324","1516","249.1","82.7","1.9","486"
"","Pondy","311","0","6.1","6.2","0.0","43"
"ER","Bihar","2134","450","41.3","38.7","0.0","180"
"","DVC","2597","0","57.5","-25.4","-0.5","210"
"","Jharkhand","1039","0","21.4","10.6","-0.6","50"
"","Odisha","3899","0","63.7","6.4","0.1","200"
"","West Bengal","5915","9","101.7","17.0","-1.1","220"
"","Sikkim","102","0","1.3","1.3","0.0","25"
"NER","Arunachal Pradesh","112","3","1.5","1.4","0.1","34"
"","Assam","954","193","17.3","11.4","1.4","130"
"","Manipur","113","5","1.6","1.6","0.0","33"
"","Meghalaya","274","11","4.3","3.2","0.0","37"
"","Mizoram","74","1","1.2","1.0","0.0","22"
"","Nagaland","100","3","1.5","1.6","-0.4","23"
"","Tripura","195","4","2.8","0.0","0.3","72"
