"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10115","0","228.4","136.6","-1.1","35","0.0"
"","Haryana","9536","0","209.1","154.7","-0.4","128","0.0"
"","Rajasthan","9911","0","224.7","74.9","-1.8","393","0.0"
"","Delhi","5838","0","122.2","101.5","-0.6","188","0.0"
"","UP","20265","590","430.1","224.6","3.0","797","2.3"
"","Uttarakhand","1855","0","39.6","12.5","0.1","135","0.0"
"","HP","1464","0","31.1","-0.1","-0.3","64","0.0"
"","J&K","2104","526","40.2","18.3","-1.1","298","9.6"
"","Chandigarh","283","0","5.9","6.5","-0.6","0","0.0"
"WR","Chhattisgarh","3649","0","85.2","27.3","0.0","272","0.0"
"","Gujarat","13454","0","294.3","87.3","3.1","647","0.0"
"","MP","8677","0","192.3","81.6","-3.9","299","0.0"
"","Maharashtra","17807","0","390.6","121.0","0.6","550","0.0"
"","Goa","541","0","10.2","9.9","-0.3","37","0.0"
"","DD","336","0","7.5","6.9","0.6","48","0.0"
"","DNH","793","0","18.6","18.6","0.0","30","0.0"
"","Essar steel","318","0","5.8","5.7","0.1","232","0.0"
"SR","Andhra Pradesh","7340","0","169.6","28.8","-0.3","474","0.0"
"","Telangana","9044","0","188.3","46.4","-0.3","393","0.0"
"","Karnataka","9303","0","177.7","21.7","-2.5","441","0.0"
"","Kerala","3352","0","67.0","43.6","1.8","239","0.0"
"","Tamil Nadu","13793","0","307.3","121.6","0.4","495","0.0"
"","Pondy","389","0","8.2","8.2","0.0","40","0.0"
"ER","Bihar","5674","0","115.6","110.5","-0.3","400","0.0"
"","DVC","2885","0","61.5","-29.2","0.5","350","0.0"
"","Jharkhand","1135","0","24.5","16.6","-1.3","150","0.0"
"","Odisha","4404","0","89.4","23.4","6.6","500","0.0"
"","West Bengal","8274","0","168.4","66.2","0.3","300","0.0"
"","Sikkim","100","0","1.2","1.3","-0.1","20","0.0"
"NER","Arunachal Pradesh","128","6","2.3","2.9","-0.6","85","0.0"
"","Assam","1876","68","36.0","30.3","0.6","96","1.0"
"","Manipur","177","5","2.6","2.6","0.0","35","0.0"
"","Meghalaya","320","8","5.3","2.6","-0.2","129","0.0"
"","Mizoram","89","4","1.9","0.8","0.7","63","0.0"
"","Nagaland","138","6","2.3","2.4","-0.4","29","0.0"
"","Tripura","295","15","4.9","4.4","-0.1","58","0.1"
