"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7609","0","175.3","100.7","-0.1","191","0.0"
"","Haryana","7843","263","156.2","110.6","1.7","225","0.1"
"","Rajasthan","8902","203","198.6","64.8","-0.1","352","0.5"
"","Delhi","5206","0","108.0","82.2","-0.5","195","0.1"
"","UP","17187","625","376.8","177.6","-0.4","235","0.0"
"","Uttarakhand","1851","0","39.5","10.5","0.2","123","0.0"
"","HP","1393","0","26.1","1.7","0.6","213","0.0"
"","J&K","1807","452","38.2","13.5","1.4","187","9.1"
"","Chandigarh","279","0","5.5","6.0","-0.5","9","0.0"
"WR","Chhattisgarh","3954","0","94.9","33.4","0.1","443","0.7"
"","Gujarat","12178","0","264.9","46.2","1.3","330","0.0"
"","MP","7998","0","175.2","106.2","-0.6","322","0.0"
"","Maharashtra","19694","0","428.4","129.0","1.7","489","0.0"
"","Goa","474","0","9.6","9.6","-0.1","90","0.0"
"","DD","313","0","6.9","6.4","0.5","72","0.0"
"","DNH","740","0","17.1","15.8","1.3","84","0.0"
"","Essar steel","121","0","1.2","1.4","-0.1","151","0.0"
"SR","Andhra Pradesh","6812","0","146","42","-0.4","598","0.0"
"","Telangana","7392","0","170","83","-0.5","407","0.0"
"","Karnataka","7760","0","165","68","3.5","460","0.0"
"","Kerala","3235","0","64","43","1.6","196","0.0"
"","Tamil Nadu","12538","0","269","139","0.8","829","0.0"
"","Pondy","347","0","7","7","-0.1","44","0.0"
"ER","Bihar","4256","0","84.1","78.4","-0.1","300","0.0"
"","DVC","2855","0","64.8","-30.5","1.4","400","0.0"
"","Jharkhand","1227","0","24.8","18.9","-0.4","70","0.0"
"","Odisha","4154","0","80.0","29.2","1.7","350","0.0"
"","West Bengal","8430","0","162.3","61.5","4.0","400","0.0"
"","Sikkim","95","0","1.2","1.1","0.1","15","0.0"
"NER","Arunachal Pradesh","119","2","2.1","3.0","-0.9","13","0.0"
"","Assam","1665","70","30.7","23.6","2.6","156","1.0"
"","Manipur","147","2","2.1","2.3","-0.2","26","0.0"
"","Meghalaya","289","0","5.1","-1.1","-0.9","12","0.0"
"","Mizoram","77","2","1.3","1.4","-0.2","30","0.0"
"","Nagaland","112","2","2.2","2.0","0.0","26","0.0"
"","Tripura","235","4","4.1","3.3","0.2","48","0.1"
