"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3131","0","63.6","47.1","-0.7","158","0.0"
"","Haryana","3793","0","66.7","64.1","0.2","263","0.0"
"","Rajasthan","8044","0","141.3","39.9","-2.0","556","0.0"
"","Delhi","2302","0","42.9","32.9","-1.4","32","0.0"
"","UP","13613","0","234.8","108.0","-0.9","935","0.0"
"","Uttarakhand","1041","0","17.8","2.6","0.6","112","0.0"
"","HP","827","0","13.0","-0.6","0.4","188","0.0"
"","J&K(UT) & Ladakh(UT)","1933","483","40.2","35.1","-4.4","51","9.4"
"","Chandigarh","140","0","2.3","2.3","0.0","23","0.0"
"WR","Chhattisgarh","3160","0","72.6","25.0","-1.3","300","0.0"
"","Gujarat","9882","0","217.1","70.2","-0.1","598","0.0"
"","MP","8432","0","158.9","95.1","-1.7","342","0.0"
"","Maharashtra","16245","0","344.3","128.3","-0.4","573","0.0"
"","Goa","347","0","7.1","7.2","-0.1","35","0.0"
"","DD","64","0","1.4","1.4","0.0","7","0.0"
"","DNH","75","0","0.0","1.7","-0.4","18","0.0"
"","Essar steel","175","0","0.8","0.7","0.1","108","0.0"
"SR","Andhra Pradesh","8296","0","164.2","85.4","-1.0","366","0.0"
"","Telangana","10012","0","204.8","108.8","0.0","530","0.0"
"","Karnataka","11257","0","221.6","78.5","-0.3","424","0.0"
"","Kerala","3771","0","70.2","54.7","0.3","212","0.0"
"","Tamil Nadu","11324","0","245.2","176.6","-1.4","373","0.0"
"","Puducherry","207","0","4.2","4.5","-0.3","65","0.0"
"ER","Bihar","4062","0","71.2","69.9","-0.4","495","0.0"
"","DVC","1685","0","32.4","-22.5","0.1","228","0.0"
"","Jharkhand","1243","0","23.4","15.0","-0.5","172","0.0"
"","Odisha","3703","0","77.3","3.1","0.5","257","0.0"
"","West Bengal","6545","0","128.0","36.5","0.9","339","0.0"
"","Sikkim","97","0","1.3","1.4","-0.1","18","0.0"
"NER","Arunachal Pradesh","110","1","1.5","1.1","0.2","26","0.0"
"","Assam","1318","9","20.9","18.2","-0.3","65","0.6"
"","Manipur","189","1","2.4","2.2","0.2","22","0.0"
"","Meghalaya","256","0","3.4","3.0","-0.2","36","0.1"
"","Mizoram","95","2","1.6","1.3","0.0","23","0.0"
"","Nagaland","123","1","2.0","2.0","-0.1","36","0.0"
"","Tripura","240","1","3.9","3.2","-0.4","34","0.0"
