"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5201","0","102.8","46.7","-0.8","76","0.0"
"","Haryana","6241","0","118.6","86.2","1.6","236","0.0"
"","Rajasthan","9721","183","199.6","71.7","2.5","282","1.1"
"","Delhi","3602","0","69.0","58.1","-0.6","138","0.0"
"","UP","12668","175","285.5","115.0","0.3","288","2.0"
"","Uttarakhand","1718","0","34.1","14.8","0.0","68","0.0"
"","HP","1407","0","25.2","15.9","0.8","153","0.0"
"","J&K","1930","483","40.6","33.2","0.6","197","9.5"
"","Chandigarh","170","0","3.2","3.9","-0.7","0","0.0"
"WR","Chhattisgarh","3359","0","74.3","15.0","-1.9","333","0.0"
"","Gujarat","14807","0","316.6","85.5","-1.1","417","0.0"
"","MP","10599","0","230.0","161.7","4.3","518","0.0"
"","Maharashtra","19727","0","423.5","131.8","0.0","535","0.0"
"","Goa","477","0","9.1","9.4","-0.3","18","0.0"
"","DD","325","0","7.3","6.0","1.2","66","0.0"
"","DNH","745","0","17.0","16.2","0.8","84","0.0"
"","Essar steel","496","0","9.9","9.9","0.0","187","0.0"
"SR","Andhra Pradesh","7408","0","160.4","63.8","4.1","600","0.0"
"","Telangana","7077","0","155.4","43.4","0.5","664","0.0"
"","Karnataka","8406","0","178.8","65.8","4.2","542","0.0"
"","Kerala","3391","0","65.8","48.7","1.0","184","0.0"
"","Tamil Nadu","12151","0","256.1","150.8","4.9","700","0.0"
"","Pondy","307","0","6.3","6.8","-0.4","31","0.0"
"ER","Bihar","3739","100","65.3","57.5","0.0","385","0.8"
"","DVC","2745","100","63.8","-21.5","3.7","402","0.7"
"","Jharkhand","1090","0","22.5","15.9","0.8","135","0.0"
"","Odisha","4608","0","77.0","38.9","2.3","398","0.0"
"","West Bengal","6487","0","109.2","25.3","0.5","423","0.0"
"","Sikkim","104","0","1.3","1.4","-0.1","20","0.0"
"NER","Arunachal Pradesh","132","3","2.4","2.2","0.2","7","0.1"
"","Assam","1435","85","24.0","17.3","1.0","139","0.9"
"","Manipur","152","7","2.3","2.5","-0.2","19","0.1"
"","Meghalaya","281","0","4.8","1.2","-0.1","59","0.0"
"","Mizoram","79","5","1.4","1.3","0.0","15","0.1"
"","Nagaland","100","5","1.9","1.6","-0.2","19","0.1"
"","Tripura","211","5","2.7","2.2","0.0","75","0.1"
