"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6228","0","121.4","57.8","-1.5","115","0.0"
"","Haryana","6937","0","132.6","79.7","0.9","196","0.0"
"","Rajasthan","13864","0","240.4","74.0","-1.7","445","0.0"
"","Delhi","4728","0","76.6","66.9","-0.9","222","0.1"
"","UP","15709","0","286.8","126.6","-0.7","688","0.7"
"","Uttarakhand","2081","0","39.2","21.6","-0.1","110","0.0"
"","HP","1750","0","31.0","24.1","0.1","224","0.0"
"","J&K(UT) and Ladakh(UT)","2680","670","53.2","46.5","1.3","457","12.6"
"","Chandigarh","276","0","4.3","4.5","-0.2","5","0.0"
"WR","Chhattisgarh","3332","0","68.1","18.9","-2.1","240","0.0"
"","Gujarat","15469","0","320.7","76.6","1.1","621","0.0"
"","MP","12778","0","227.4","110.0","-2.7","422","0.0"
"","Maharashtra","20224","0","408.6","129.6","-1.7","425","0.0"
"","Goa","516","0","12.9","10.1","2.4","43","0.0"
"","DD","326","0","7.2","6.8","0.4","43","0.0"
"","DNH","786","0","18.6","18.6","0.0","28","0.0"
"","Essar steel","288","0","5.3","5.5","-0.2","216","0.0"
"SR","Andhra Pradesh","8433","0","171.2","65.7","-0.3","370","0.0"
"","Telangana","9921","0","194.9","110.7","-2.0","326","0.0"
"","Karnataka","12173","0","217.5","61.5","-0.3","763","0.0"
"","Kerala","3732","0","75.4","55.3","1.1","203","0.0"
"","Tamil Nadu","14435","0","298.3","170.5","3.0","647","0.0"
"","Pondy","366","0","7.2","7.4","-0.2","63","0.0"
"ER","Bihar","4252","0","76.4","74.7","0.4","105","0.0"
"","DVC","3071","0","61.4","-30.5","0.0","211","0.0"
"","Jharkhand","1295","0","22.6","19.1","-1.3","92","0.0"
"","Odisha","3475","0","62.9","1.1","-0.5","215","0.0"
"","West Bengal","5775","0","106.4","24.1","-1.0","209","0.0"
"","Sikkim","137","0","2.0","1.6","0.4","56","0.0"
"NER","Arunachal Pradesh","121","2","2.2","1.9","0.2","52","0.0"
"","Assam","1304","43","21.7","18.6","0.7","135","1.0"
"","Manipur","210","1","2.7","3.0","-0.3","33","0.0"
"","Meghalaya","363","0","6.2","3.2","0.6","67","0.5"
"","Mizoram","111","2","1.9","1.2","0.3","42","0.0"
"","Nagaland","124","1","2.3","2.1","0.0","19","0.0"
"","Tripura","207","2","3.3","1.3","-0.5","24","0.0"
